,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,15,17,0,0,3,0,0,35,1,9,29,82.86
DJ Bravo,26,22,3,0,8,0,1,60,5,13,66,110.0
KA Pollard,4,5,3,0,1,0,1,14,1,2,21,150.0
R McLaren,1,1,1,0,2,0,0,5,1,3,11,220.0
YK Pathan,8,10,1,0,0,0,0,19,0,7,12,63.16
M Morkel,20,29,1,0,13,0,6,69,2,11,119,172.46
SK Trivedi,16,15,1,0,4,0,2,38,4,9,45,118.42
SK Warne,13,34,2,0,2,0,1,52,3,8,52,100.0
RA Jadeja,20,45,5,0,1,0,2,73,2,15,71,97.26
Iqbal Abdulla,5,12,0,0,1,0,1,19,1,4,22,115.79
L Balaji,11,4,2,0,4,0,1,22,2,6,30,136.36
JH Kallis,13,22,2,0,11,0,2,50,1,6,82,164.0
Shakib Al Hasan,21,22,8,0,8,0,2,61,0,8,82,134.43
SP Narine,35,35,3,0,10,0,1,84,5,12,87,103.57
Gagandeep Singh,9,4,5,0,6,0,2,26,0,2,50,192.31
RR Powar,4,3,0,0,0,0,0,7,0,1,3,42.86
Yuvraj Singh,16,23,2,0,2,0,1,44,0,9,41,93.18
PP Chawla,34,48,4,0,11,0,6,103,1,16,136,132.04
VRV Singh,2,6,1,0,3,0,0,12,1,2,20,166.67
MG Johnson,11,2,2,0,2,0,1,18,1,2,20,111.11
Karanveer Singh,1,2,1,0,0,0,0,4,0,1,4,100.0
AR Patel,12,12,1,0,1,0,0,26,1,4,18,69.23
Anureet Singh,3,1,2,0,1,0,0,7,0,1,9,128.57
P Kumar,29,17,5,0,9,0,3,63,1,12,81,128.57
DS Kulkarni,15,7,1,0,4,0,4,31,4,7,49,158.06
SM Harwood,3,1,0,0,0,0,0,4,0,1,1,25.0
MM Patel,3,2,2,0,5,0,1,13,0,3,32,246.15
AS Raut,2,2,0,0,1,0,0,5,0,1,6,120.0
Imran Tahir,16,20,1,0,4,0,2,43,1,6,50,116.28
DL Chahar,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,3,1,0,0,1,0,0,5,1,2,5,100.0
S Kaul,3,3,3,0,0,0,0,9,1,1,9,100.0
Mohammad Nabi,3,1,0,0,0,0,0,4,0,1,1,25.0
Rashid Khan,4,7,0,0,1,0,1,13,1,2,17,130.77
Mohammed Siraj,1,4,1,0,1,0,0,7,0,1,10,142.86
B Kumar,5,11,1,0,3,0,1,21,1,7,31,147.62
MC Henriques,9,9,2,0,4,0,2,26,0,4,41,157.69
DW Steyn,23,19,1,0,4,0,0,47,1,9,37,78.72
KV Sharma,5,16,2,0,2,0,1,26,1,5,34,130.77
MJ Clarke,2,2,0,0,0,0,0,4,0,1,2,50.0
A Mishra,27,47,3,1,1,0,3,82,5,14,78,95.12
S Nadeem,13,35,2,0,3,0,3,56,0,9,69,123.21
NM Coulter-Nile,6,5,2,0,0,0,1,14,2,3,15,107.14
DE Bollinger,6,1,0,0,2,0,1,10,2,3,15,150.0
JA Morkel,9,10,1,0,1,0,0,21,3,7,16,76.19
Joginder Sharma,5,7,0,0,3,0,3,18,0,3,37,205.56
R Ashwin,35,40,5,0,2,0,2,84,1,13,70,83.33
S Randiv,5,2,0,0,3,0,1,11,0,1,20,181.82
SK Raina,8,17,1,0,1,0,3,30,1,5,41,136.67
DP Nannes,9,7,1,0,2,0,0,19,1,5,17,89.47
PJ Sangwan,11,4,0,0,2,0,0,17,1,3,12,70.59
DL Vettori,3,7,0,0,0,0,0,10,1,2,7,70.0
A Chandila,1,0,0,0,0,0,0,1,0,1,0,0.0
JP Faulkner,8,3,0,0,3,0,3,17,2,5,33,194.12
AA Chavan,6,2,1,0,1,0,0,10,0,2,8,80.0
A Nehra,9,15,5,1,4,0,3,37,2,9,62,167.57
STR Binny,11,4,0,0,2,0,0,17,1,5,12,70.59
S Badree,2,2,0,0,0,0,0,4,1,2,2,50.0
AL Menaria,3,6,0,0,1,0,0,10,0,2,10,100.0
A Singh,6,5,2,0,2,0,2,17,0,3,29,170.59
Sandeep Sharma,11,4,1,0,3,0,0,19,2,6,18,94.74
R Dhawan,5,8,0,0,1,0,1,15,0,2,18,120.0
Shivam Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
BE Hendricks,1,0,0,0,0,0,0,1,1,1,0,0.0
Ankit Soni,5,2,0,0,0,0,0,7,0,1,2,28.57
B Lee,8,7,1,0,3,0,3,22,1,3,39,177.27
IK Pathan,21,14,5,0,7,0,3,50,2,9,70,140.0
WA Mota,3,2,0,0,1,0,2,8,0,2,18,225.0
UT Yadav,29,24,1,0,15,0,4,73,2,11,110,150.68
BMAJ Mendis,2,4,0,0,0,0,1,7,0,1,10,142.86
VR Aaron,9,8,2,0,3,1,5,28,1,4,59,210.71
KW Richardson,8,5,1,0,1,0,0,15,1,2,11,73.33
SR Watson,7,16,4,0,7,0,0,34,0,5,52,152.94
HV Patel,4,7,2,0,1,0,1,15,1,3,21,140.0
AJ Finch,1,4,1,0,0,0,0,6,0,2,6,100.0
R Sharma,12,5,1,0,1,0,0,19,1,3,11,57.89
AD Mathews,5,7,0,0,2,0,1,15,1,3,21,140.0
AB Dinda,11,10,3,0,3,0,5,32,2,8,58,181.25
MR Marsh,1,1,0,0,1,0,1,4,0,1,11,275.0
CH Morris,11,11,1,0,1,0,2,26,1,4,29,111.54
AP Dole,3,2,5,0,1,0,0,11,0,1,16,145.45
Y Nagar,3,2,0,0,0,0,0,5,0,1,2,40.0
KK Cooper,9,6,2,0,1,0,1,19,0,5,20,105.26
Harbhajan Singh,2,8,0,0,0,0,0,10,0,2,8,80.0
RR Raje,1,6,0,0,0,0,1,8,0,1,12,150.0
ST Jayasuriya,2,7,2,0,1,0,0,12,0,2,15,125.0
SL Malinga,2,2,1,0,0,0,0,5,1,2,4,80.0
CJ Anderson,0,1,0,0,1,0,0,2,0,1,5,250.0
K Rabada,1,0,0,0,0,0,0,1,1,1,0,0.0
V Pratap Singh,5,4,1,0,2,0,1,13,0,1,20,153.85
DT Christian,8,10,1,0,4,0,6,29,0,4,64,220.69
A Ashish Reddy,3,1,0,0,1,0,0,5,0,1,5,100.0
JP Duminy,4,6,2,0,3,0,0,15,1,2,22,146.67
AS Rajpoot,6,3,0,0,1,0,0,10,1,3,7,70.0
R Bhatia,16,32,2,0,7,0,6,63,2,8,100,158.73
JD Unadkat,9,7,0,0,3,0,3,22,2,5,37,168.18
R Sathish,2,3,0,0,0,0,0,5,0,1,3,60.0
AD Russell,10,14,0,0,8,0,3,35,0,5,64,182.86
CRD Fernando,1,0,0,0,0,0,0,1,1,1,0,0.0
GJ Maxwell,1,1,0,0,0,0,0,2,0,1,1,50.0
I Sharma,10,7,0,1,3,0,1,22,2,8,28,127.27
R Tewatia,2,1,0,0,0,0,0,3,1,1,1,33.33
JD Ryder,4,5,0,0,1,0,1,11,0,2,15,136.36
A Kumble,13,19,3,0,2,0,4,41,2,7,57,139.02
KP Pietersen,3,3,1,0,0,0,1,8,0,1,11,137.5
S Aravind,0,6,0,0,0,0,1,7,0,3,12,171.43
CJ Jordan,6,2,1,0,3,0,0,12,0,1,16,133.33
YS Chahal,4,19,0,0,0,0,0,23,1,6,19,82.61
SB Jakati,7,10,2,0,2,0,1,22,1,4,28,127.27
T Thushara,0,3,0,0,0,0,0,3,0,1,3,100.0
VS Malik,1,1,0,0,1,0,0,3,0,1,5,166.67
SJ Srivastava,1,3,0,0,1,0,2,7,0,1,19,271.43
J Theron,1,6,0,0,0,0,0,7,0,2,6,85.71
MM Sharma,17,19,3,0,8,0,1,48,1,9,63,131.25
PV Tambe,0,3,0,0,1,0,0,4,0,2,7,175.0
D Wiese,6,3,0,0,2,0,1,12,1,2,17,141.67
B Laughlin,1,5,2,0,1,0,1,10,0,1,19,190.0
AB Agarkar,10,9,3,1,4,0,3,30,1,5,52,173.33
Washington Sundar,4,4,0,0,0,0,0,8,1,3,4,50.0
SN Thakur,2,4,0,0,0,0,1,7,0,3,10,142.86
LH Ferguson,4,1,0,0,4,0,0,9,0,1,17,188.89
A Zampa,2,2,0,0,0,0,0,4,1,1,2,50.0
R Vinay Kumar,24,4,3,0,3,0,0,34,6,6,22,64.71
V Kohli,1,5,1,0,0,0,0,7,0,2,7,100.0
KP Appanna,5,4,1,0,1,0,0,11,0,1,10,90.91
AC Thomas,0,3,0,0,0,0,0,3,0,1,3,100.0
WD Parnell,4,1,0,0,1,0,0,6,0,1,5,83.33
M Kartik,23,12,2,0,2,0,2,41,2,8,36,87.8
S Sreesanth,3,2,0,0,2,0,0,7,0,2,10,142.86
Azhar Mahmood,2,7,1,0,2,0,1,13,0,3,23,176.92
BA Bhatt,3,7,0,0,1,0,0,11,0,2,11,100.0
P Awana,8,11,2,0,1,0,2,24,2,4,31,129.17
