,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JP Faulkner,1,2,0,0,0,0,0,3,0,1,2,66.67
R McLaren,2,3,0,0,1,0,0,6,1,1,7,116.67
KA Pollard,0,2,2,0,0,0,0,4,0,1,6,150.0
B Lee,1,0,0,0,0,0,0,1,0,1,0,0.0
IK Pathan,0,1,1,0,0,0,0,2,0,2,3,150.0
SK Warne,1,1,0,0,0,0,0,2,1,1,1,50.0
JH Kallis,4,3,1,0,0,0,1,9,0,2,11,122.22
ND Doshi,4,1,0,0,0,0,0,5,0,1,1,20.0
A Kumble,3,2,0,0,0,0,0,5,1,3,2,40.0
SL Malinga,1,2,2,0,0,0,0,5,0,2,6,120.0
SR Watson,2,1,0,0,0,0,0,3,0,1,1,33.33
SW Tait,1,0,1,0,0,0,0,2,1,1,2,100.0
R Vinay Kumar,0,2,5,0,0,0,0,7,0,2,12,171.43
M Morkel,0,1,1,0,0,0,0,2,0,1,3,150.0
UT Yadav,0,2,0,0,1,0,1,4,0,1,12,300.0
DL Vettori,4,3,0,0,0,0,0,7,0,1,3,42.86
CH Gayle,2,2,0,0,0,0,0,4,0,1,2,50.0
Z Khan,1,3,0,0,1,0,0,5,0,1,7,140.0
V Kohli,2,2,1,0,0,0,0,5,0,1,4,80.0
A Mithun,2,1,0,0,0,0,0,3,0,1,1,33.33
S Aravind,1,0,0,0,0,0,0,1,1,1,0,0.0
AB Agarkar,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,1,1,0,0,0,0,0,2,0,1,1,50.0
SB Jakati,3,2,1,0,1,0,1,8,1,2,14,175.0
DE Bollinger,1,1,0,0,0,0,0,2,1,1,1,50.0
AM Salvi,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Patel,3,0,1,0,1,0,0,5,2,2,6,120.0
DJ Bravo,1,0,0,0,0,0,0,1,0,1,0,0.0
CH Morris,1,0,0,0,0,0,0,1,1,1,0,0.0
MR Marsh,3,0,0,0,1,0,0,4,1,1,4,100.0
P Kumar,0,0,0,1,0,0,0,1,0,1,3,300.0
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
