,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BJ Hodge,0,1,0,0,0,0,0,1,0,1,1,100.0
CK Langeveldt,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,9,1,0,0,0,0,0,10,2,2,1,10.0
DP Nannes,8,1,0,0,2,0,0,11,0,2,9,81.82
DS Kulkarni,5,2,1,1,2,0,0,11,0,1,15,136.36
SL Malinga,2,2,0,0,0,0,0,4,1,1,2,50.0
DJ Bravo,2,2,0,0,2,0,1,7,0,1,16,228.57
JP Duminy,4,2,0,0,1,0,1,8,0,1,12,150.0
Harbhajan Singh,4,4,0,0,0,0,0,8,0,1,4,50.0
C Nanda,0,2,0,0,0,0,0,2,0,1,2,100.0
S Tyagi,9,2,0,0,1,0,0,12,0,1,6,50.0
JA Morkel,3,4,0,0,2,0,0,9,0,1,12,133.33
JDP Oram,0,2,0,0,0,0,0,2,0,1,2,100.0
M Muralitharan,1,2,0,0,1,0,0,4,0,1,6,150.0
SK Raina,3,2,0,0,0,0,0,5,1,1,2,40.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
YA Abdulla,5,0,1,0,1,0,0,7,1,1,6,85.71
