,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KV Sharma,2,3,1,0,0,0,0,6,0,3,5,83.33
IK Pathan,2,5,0,0,0,0,0,7,0,2,5,71.43
B Kumar,2,4,1,0,3,0,1,11,1,2,24,218.18
DW Steyn,4,3,0,0,0,0,0,7,0,2,3,42.86
AR Patel,3,0,0,0,1,0,0,4,0,2,4,100.0
R Dhawan,0,1,1,0,0,0,0,2,0,1,3,150.0
Karanveer Singh,1,1,0,0,0,0,2,4,1,2,13,325.0
MG Johnson,2,1,0,0,0,0,0,3,1,1,1,33.33
PV Tambe,1,0,0,0,0,0,0,1,1,1,0,0.0
MM Sharma,2,3,0,0,0,0,0,5,0,1,3,60.0
SK Raina,3,1,0,0,0,0,0,4,0,1,1,25.0
DJ Bravo,4,4,1,0,2,0,1,12,0,1,20,166.67
A Nehra,1,4,0,0,1,0,1,7,0,1,14,200.0
Z Khan,1,1,1,0,0,0,0,3,0,1,3,100.0
M Muralitharan,1,0,0,0,0,0,0,1,1,1,0,0.0
D Wiese,0,2,0,0,0,0,0,2,0,1,2,100.0
HV Patel,2,0,0,0,1,0,1,4,0,1,10,250.0
MA Starc,2,0,0,0,0,0,0,2,1,2,0,0.0
A Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
AA Chavan,1,0,0,0,0,0,1,2,0,1,6,300.0
IC Pandey,1,1,0,0,0,0,0,2,0,1,1,50.0
AD Mathews,3,4,1,0,3,0,1,12,0,2,24,200.0
AG Murtaza,2,9,0,0,3,0,1,15,0,1,27,180.0
Yuvraj Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
LJ Wright,0,2,1,0,0,0,0,3,0,1,4,133.33
WD Parnell,0,3,0,0,0,0,0,3,0,2,3,100.0
RV Gomez,1,0,0,0,0,0,0,1,0,1,0,0.0
Imran Tahir,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,1,0,1,0,0,0,0,2,1,2,2,100.0
Harbhajan Singh,5,7,2,0,1,0,0,15,0,2,15,100.0
JEC Franklin,1,2,1,0,1,0,1,6,0,2,14,233.33
SL Malinga,5,7,0,0,1,0,1,14,0,2,17,121.43
AN Ahmed,3,0,0,0,0,0,1,4,1,2,6,150.0
Sandeep Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
Bipul Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
MC Henriques,1,1,1,0,0,0,0,3,1,1,3,100.0
DS Kulkarni,2,4,0,0,2,0,0,8,0,1,12,150.0
KA Pollard,4,4,2,0,1,0,2,13,0,1,24,184.62
MM Patel,2,2,0,0,1,0,0,5,0,1,6,120.0
R Vinay Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
JD Unadkat,2,1,0,0,1,0,0,4,0,1,5,125.0
BA Bhatt,1,3,0,0,0,0,0,4,0,1,3,75.0
Harmeet Singh,2,2,0,0,0,0,0,4,1,1,2,50.0
AD Mascarenhas,1,0,0,0,1,0,0,2,0,1,4,200.0
P Kumar,2,2,0,0,0,0,0,4,0,1,2,50.0
UT Yadav,1,1,0,0,0,0,0,2,0,1,1,50.0
JR Hopes,1,1,0,0,1,0,0,3,0,1,5,166.67
M Morkel,1,1,0,0,1,0,1,4,1,1,11,275.0
MR Marsh,3,2,1,0,0,0,0,6,0,1,4,66.67
K Upadhyay,0,2,0,0,0,0,0,2,0,1,2,100.0
