,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SP Narine,1,1,0,0,0,0,0,2,1,1,1,50.0
L Balaji,3,2,0,0,1,0,0,6,1,2,6,100.0
DP Nannes,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,2,4,0,0,0,0,0,6,0,3,4,66.67
IK Pathan,2,2,0,0,0,0,0,4,1,2,2,50.0
UT Yadav,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Trivedi,3,1,0,0,0,0,0,4,1,2,1,25.0
SK Warne,1,2,1,0,0,0,0,4,0,2,4,100.0
M Morkel,4,1,0,0,0,0,0,5,1,2,1,20.0
Sohail Tanvir,2,0,0,0,0,0,0,2,0,1,0,0.0
SL Malinga,4,1,0,0,0,0,0,5,1,2,1,20.0
Harbhajan Singh,1,1,1,0,0,0,0,3,1,1,3,100.0
RE van der Merwe,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,3,1,0,0,0,0,0,4,2,2,1,25.0
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
M Kartik,1,1,0,0,0,0,0,2,0,1,1,50.0
S Sreesanth,0,1,0,1,0,0,0,2,0,1,4,200.0
VY Mahesh,0,1,0,0,0,0,0,1,0,1,1,100.0
M Muralitharan,6,1,0,0,0,0,0,7,1,2,1,14.29
JA Morkel,0,0,0,0,0,0,1,1,0,1,6,600.0
GD McGrath,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
Umar Gul,0,1,0,0,0,0,0,1,0,1,1,100.0
LR Shukla,1,1,0,0,1,0,0,3,0,1,5,166.67
WD Parnell,1,0,0,0,0,0,0,1,0,1,0,0.0
SW Tait,3,1,0,0,0,0,0,4,0,1,1,25.0
SB Jakati,1,1,0,0,0,0,0,2,0,1,1,50.0
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
