,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,0,1,1,0,0,0,0,2,0,1,3,150.0
SM Harwood,1,1,0,0,0,0,0,2,0,1,1,50.0
A Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,1,3,0,0,0,0,0,4,0,1,3,75.0
Z Khan,2,3,1,0,0,0,0,6,0,2,5,83.33
DJ Bravo,0,1,0,0,1,0,0,2,0,1,5,250.0
M Muralitharan,3,2,0,0,0,0,0,5,0,1,2,40.0
L Balaji,8,5,1,0,4,0,0,18,0,3,23,127.78
JA Morkel,3,2,0,0,1,0,1,7,0,1,12,171.43
RE van der Merwe,1,0,0,0,0,0,0,1,1,1,0,0.0
Shakib Al Hasan,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mithun,1,1,2,0,0,0,0,4,0,1,5,125.0
VY Mahesh,3,1,0,0,0,0,0,4,0,1,1,25.0
DP Nannes,2,0,1,0,0,0,0,3,1,1,2,66.67
