,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,8,1,0,0,2,0,0,11,0,1,9,81.82
DW Steyn,3,1,0,0,0,0,1,5,0,1,7,140.0
P Kumar,4,2,0,0,1,0,0,7,1,1,6,85.71
JH Kallis,0,4,0,0,1,0,0,5,0,1,8,160.0
A Kumble,3,1,0,0,0,0,0,4,0,1,1,25.0
DS Kulkarni,2,2,0,0,0,0,0,4,0,1,2,50.0
MA Khote,0,2,0,0,0,0,0,2,0,1,2,100.0
A Nehra,1,1,1,0,0,0,0,3,1,1,3,100.0
MS Gony,1,1,0,0,0,0,0,2,0,1,1,50.0
JA Morkel,1,2,0,0,0,0,0,3,0,1,2,66.67
P Amarnath,0,2,1,0,0,0,0,3,0,1,4,133.33
CK Kapugedera,0,2,2,0,0,0,0,4,0,1,6,150.0
M Muralitharan,3,2,2,0,0,0,0,7,0,1,6,85.71
L Balaji,2,1,0,0,0,0,0,3,1,1,1,33.33
DNT Zoysa,3,3,0,0,1,0,0,7,0,1,7,100.0
Shahid Afridi,1,2,0,0,0,0,0,3,0,1,2,66.67
RP Singh,2,1,0,0,1,0,0,4,0,1,5,125.0
SB Bangar,0,1,0,0,0,0,0,1,0,1,1,100.0
