,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Mishra,7,11,1,0,2,0,0,21,0,3,21,100.0
JA Morkel,0,3,2,0,1,0,0,6,0,1,11,183.33
JP Duminy,1,4,0,0,0,0,1,6,1,2,10,166.67
Z Khan,4,6,0,0,0,0,0,10,1,3,6,60.0
AP Dole,1,3,0,0,0,0,0,4,0,1,3,75.0
SK Trivedi,4,6,0,0,0,0,0,10,0,2,6,60.0
SK Warne,1,6,0,0,1,0,0,8,0,2,10,125.0
FY Fazal,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,4,3,1,0,0,0,0,8,0,2,5,62.5
Harbhajan Singh,4,4,1,0,0,0,0,9,0,2,6,66.67
DJ Bravo,4,1,0,0,0,0,0,5,2,2,1,20.0
WPUJC Vaas,3,1,0,0,2,0,0,6,0,1,9,150.0
RP Singh,6,1,1,0,1,0,0,9,0,1,7,77.78
A Symonds,2,2,1,0,1,0,0,6,0,1,8,133.33
PP Ojha,1,4,0,1,1,0,0,7,0,1,11,157.14
RG Sharma,2,3,0,0,0,0,0,5,1,1,3,60.0
I Sharma,0,3,0,0,0,0,0,3,0,1,3,100.0
AB Dinda,5,2,0,0,2,0,0,9,0,1,10,111.11
MC Henriques,0,1,0,0,0,0,0,1,0,1,1,100.0
SC Ganguly,1,1,0,0,0,0,0,2,1,1,1,50.0
Imran Tahir,2,5,0,1,0,0,1,9,0,1,14,155.56
Yuvraj Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
AD Mathews,1,2,0,0,0,0,0,3,0,1,2,66.67
NM Coulter-Nile,3,0,0,0,1,0,1,5,0,1,10,200.0
R Ashwin,3,2,0,0,0,0,0,5,0,1,2,40.0
IC Pandey,1,2,2,0,0,0,0,5,0,1,6,120.0
RA Jadeja,0,1,0,0,0,0,2,3,0,1,13,433.33
R McLaren,1,1,0,0,0,0,0,2,0,1,1,50.0
DP Nannes,8,1,1,0,0,0,0,10,0,2,3,30.0
AM Salvi,1,1,0,0,0,0,0,2,0,1,1,50.0
PJ Sangwan,10,3,3,0,3,0,2,21,0,2,33,157.14
VY Mahesh,5,7,1,0,2,0,0,15,1,2,17,113.33
DL Vettori,1,0,0,0,0,0,0,1,1,1,0,0.0
JP Faulkner,3,2,0,0,2,0,0,7,0,1,10,142.86
CH Morris,4,5,0,0,1,0,0,10,0,2,9,90.0
SR Watson,0,0,0,1,0,0,0,1,0,1,3,300.0
KP Pietersen,2,4,0,0,0,0,0,6,0,2,4,66.67
P Kumar,10,12,1,0,7,0,3,33,1,3,60,181.82
DW Steyn,7,8,3,1,2,0,0,21,0,2,25,119.05
A Kumble,10,16,2,0,1,0,1,30,0,3,30,100.0
JH Kallis,5,13,0,1,3,0,1,23,1,3,34,147.83
R Vinay Kumar,7,9,2,0,1,0,0,19,0,4,17,89.47
Kamran Khan,8,0,0,0,0,0,0,8,1,1,0,0.0
AD Mascarenhas,2,2,0,0,1,0,0,5,0,1,6,120.0
MM Patel,4,3,0,2,1,0,0,10,1,2,13,130.0
PV Tambe,3,4,1,0,0,0,1,9,0,1,12,133.33
DJ Hooda,0,2,1,0,0,0,0,3,0,1,4,133.33
TG Southee,0,2,0,0,0,0,0,2,0,1,2,100.0
V Kohli,0,4,1,0,1,0,0,6,0,1,10,166.67
M Morkel,2,1,0,0,0,0,0,3,1,1,1,33.33
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
J Suchith,0,3,0,0,1,0,0,4,0,1,7,175.0
MJ McClenaghan,3,3,1,0,0,0,0,7,1,1,5,71.43
Pankaj Singh,1,3,0,0,1,0,0,5,0,1,7,140.0
JD Ryder,2,4,1,0,0,0,2,9,0,1,18,200.0
SW Tait,2,3,0,0,0,0,0,5,0,1,3,60.0
AC Voges,1,2,0,0,0,0,0,3,0,1,2,66.67
MF Maharoof,2,2,0,0,0,0,1,5,0,1,8,160.0
TM Dilshan,0,2,0,0,0,0,0,2,0,1,2,100.0
SE Bond,2,0,0,0,0,0,0,2,1,1,0,0.0
MG Johnson,2,0,0,0,0,0,0,2,1,1,0,0.0
