,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SJ Srivastava,0,1,0,0,0,0,0,1,0,1,1,100.0
RJ Harris,1,1,0,0,0,0,0,2,1,1,1,50.0
SK Trivedi,1,0,0,0,0,0,0,1,1,1,0,0.0
I Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
B Lee,0,4,0,0,0,0,0,4,0,2,4,100.0
Iqbal Abdulla,3,0,0,0,0,0,0,3,0,1,0,0.0
Shakib Al Hasan,0,1,0,0,0,0,1,2,0,1,7,350.0
L Balaji,2,0,0,0,0,0,0,2,0,1,0,0.0
DP Nannes,1,0,0,0,0,0,0,1,1,1,0,0.0
S Kaul,0,0,0,0,1,0,0,1,0,1,4,400.0
S Aravind,5,0,0,0,0,0,0,5,1,1,0,0.0
TM Dilshan,4,0,0,0,0,0,0,4,0,1,0,0.0
DL Vettori,3,1,0,0,1,0,0,5,0,1,5,100.0
Z Khan,0,2,0,0,0,0,0,2,0,1,2,100.0
R Sharma,3,2,0,0,0,0,0,5,0,1,2,40.0
JD Ryder,2,1,1,0,0,0,0,4,0,1,3,75.0
AC Thomas,0,2,1,0,1,0,0,4,0,1,8,200.0
WD Parnell,1,1,2,0,2,0,0,6,0,1,13,216.67
