,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
T Thushara,4,2,0,0,0,0,0,6,0,1,2,33.33
JA Morkel,14,9,3,1,3,0,2,32,2,9,42,131.25
MS Gony,18,12,0,0,4,0,2,36,0,5,40,111.11
SB Jakati,4,3,2,0,2,0,0,11,1,2,15,136.36
S Dhawan,1,0,0,0,1,0,0,2,0,1,4,200.0
A Mishra,34,26,3,0,7,0,4,74,4,11,84,113.51
Ankit Sharma,1,1,1,0,0,0,0,3,0,1,3,100.0
DW Steyn,23,13,3,1,4,0,3,47,0,8,56,119.15
A Ashish Reddy,6,4,3,0,1,0,1,15,3,3,20,133.33
JP Faulkner,13,10,4,0,3,0,0,30,2,6,30,100.0
VR Aaron,5,5,1,0,2,0,0,13,1,4,15,115.38
AB Dinda,10,12,3,0,1,1,0,27,0,4,27,100.0
YS Chahal,8,13,2,0,2,0,1,26,1,4,31,119.23
MA Starc,7,8,1,0,3,0,1,20,0,3,28,140.0
B Kumar,24,17,2,1,9,1,0,54,0,10,65,120.37
KV Sharma,8,16,3,0,1,0,1,29,3,7,32,110.34
DJG Sammy,2,3,0,0,0,0,0,5,0,2,3,60.0
IK Pathan,29,8,3,0,4,0,0,44,3,9,30,68.18
P Kumar,23,16,2,0,6,0,2,49,1,11,56,114.29
MC Henriques,11,20,1,0,3,0,5,40,1,6,64,160.0
Shoaib Akhtar,1,1,0,0,0,0,0,2,0,1,1,50.0
I Sharma,16,7,5,0,7,0,2,37,1,6,57,154.05
P Awana,13,7,5,0,5,0,0,30,2,4,37,123.33
MG Johnson,10,6,0,0,5,0,2,23,2,5,38,165.22
AR Patel,19,16,8,0,6,0,1,50,2,6,62,124.0
R Dhawan,5,6,0,0,0,0,1,12,0,2,12,100.0
Karanveer Singh,0,3,0,0,0,0,0,3,0,1,3,100.0
SR Watson,23,12,2,1,9,0,0,47,1,6,55,117.02
TG Southee,6,6,1,1,3,0,0,17,0,4,23,135.29
PV Tambe,2,6,1,0,1,0,0,10,0,1,12,120.0
R Bhatia,9,12,1,0,0,0,4,26,0,4,38,146.15
R Tewatia,3,5,0,0,0,0,1,9,1,2,11,122.22
R Ashwin,19,24,1,0,4,0,5,53,4,8,72,135.85
SJ Srivastava,4,0,0,0,2,0,0,6,0,1,8,133.33
BA Bhatt,1,4,1,0,0,0,0,6,0,1,6,100.0
RJ Harris,6,5,3,0,2,0,3,19,1,4,37,194.74
AM Nayar,8,6,1,0,1,0,1,17,0,2,18,105.88
R McLaren,1,0,1,0,0,0,0,2,0,1,2,100.0
NJ Rimmington,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,9,8,3,0,0,0,2,22,1,6,26,118.18
B Lee,2,1,1,0,1,0,2,7,0,2,19,271.43
Z Khan,20,15,2,1,5,0,0,43,2,10,42,97.67
JP Duminy,4,10,0,0,3,0,2,19,0,4,34,178.95
Imran Tahir,4,7,1,0,1,0,3,16,0,2,31,193.75
YA Abdulla,0,3,0,0,1,0,1,5,0,2,13,260.0
RR Powar,1,2,0,0,1,0,0,4,0,1,6,150.0
PP Chawla,14,17,4,0,4,0,0,39,1,8,41,105.13
Yuvraj Singh,7,6,3,0,1,0,0,17,2,4,16,94.12
Kamran Khan,3,1,0,0,0,0,0,4,0,1,1,25.0
AD Mascarenhas,5,7,2,0,0,0,0,14,2,3,11,78.57
MM Patel,20,12,1,0,3,0,1,37,1,6,32,86.49
DNT Zoysa,0,2,0,0,0,0,0,2,0,1,2,100.0
Shahid Afridi,7,2,0,0,1,0,0,10,1,2,6,60.0
MJ McClenaghan,4,6,1,1,1,0,0,13,1,3,15,115.38
JJ Bumrah,8,6,1,0,3,0,1,19,1,4,26,136.84
Harbhajan Singh,13,17,3,0,7,0,4,44,2,8,75,170.45
HH Pandya,0,2,0,0,0,0,0,2,0,1,2,100.0
Azhar Mahmood,1,6,0,0,0,0,0,7,0,2,6,85.71
M Kartik,12,13,2,1,2,0,0,30,3,5,28,93.33
RP Singh,14,13,2,0,2,0,2,33,0,5,37,112.12
R Vinay Kumar,16,15,0,0,8,0,3,42,0,7,65,154.76
M Muralitharan,20,13,3,0,5,0,3,44,3,7,57,129.55
S Tyagi,2,1,0,0,1,0,0,4,0,2,5,125.0
L Balaji,22,10,3,0,5,0,5,45,0,7,66,146.67
AN Ahmed,10,14,4,0,3,0,0,31,1,4,34,109.68
SL Malinga,40,16,4,0,9,0,1,70,1,9,66,94.29
Sandeep Sharma,18,7,4,0,9,0,0,38,1,5,51,134.21
BE Hendricks,1,1,0,0,1,0,0,3,0,1,5,166.67
Anureet Singh,1,2,1,0,2,0,0,6,1,2,12,200.0
S Sreesanth,3,6,3,0,2,0,6,20,0,3,56,280.0
PJ Sangwan,7,9,1,0,0,0,0,17,2,2,11,64.71
DL Vettori,6,7,2,0,1,0,1,17,1,3,21,123.53
Harmeet Singh,9,9,0,0,0,0,2,20,2,4,21,105.0
CH Morris,16,11,1,0,5,0,2,35,2,6,45,128.57
BB Sran,8,5,2,0,4,1,0,20,2,4,30,150.0
DS Kulkarni,19,9,1,0,9,0,2,40,3,6,59,147.5
A Symonds,2,5,1,0,0,0,1,9,1,3,13,144.44
PP Ojha,18,18,3,0,2,0,1,42,0,8,38,90.48
DT Christian,1,7,1,0,2,0,1,12,1,3,23,191.67
IC Pandey,6,8,0,0,7,0,1,22,0,3,42,190.91
A Nehra,14,10,2,1,8,0,1,36,2,6,55,152.78
MM Sharma,12,16,3,0,11,0,2,44,0,8,78,177.27
FH Edwards,3,2,0,0,0,0,0,5,0,1,2,40.0
SB Styris,2,0,0,0,0,0,0,2,1,1,0,0.0
SMSM Senanayake,1,5,0,0,0,0,0,6,1,1,5,83.33
