,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
B Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
Iqbal Abdulla,4,6,0,0,1,0,0,11,0,1,10,90.91
YK Pathan,5,3,0,0,1,0,0,9,0,1,7,77.78
L Balaji,2,5,1,0,0,0,0,8,0,1,7,87.5
JH Kallis,3,2,0,0,3,0,0,8,1,1,14,175.0
S Ladda,5,3,0,0,0,0,2,10,0,1,15,150.0
R Bhatia,2,7,0,0,1,0,0,10,0,1,11,110.0
SL Malinga,3,1,1,0,1,0,0,6,0,2,7,116.67
KA Pollard,4,1,0,0,0,0,1,6,0,1,7,116.67
Harbhajan Singh,3,1,0,0,0,0,0,4,1,1,1,25.0
PP Ojha,1,1,1,0,0,0,0,3,0,2,3,100.0
A Symonds,0,1,0,0,0,0,0,1,0,1,1,100.0
RJ Harris,1,3,1,0,1,0,1,7,1,2,15,214.29
Harmeet Singh,2,2,0,0,0,0,0,4,0,1,2,50.0
RP Singh,8,2,0,0,0,0,1,11,1,2,8,72.73
JE Taylor,2,0,1,0,0,0,0,3,1,1,2,66.67
AC Thomas,1,1,2,0,0,0,0,4,0,1,5,125.0
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
Pankaj Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
SR Watson,0,1,0,0,1,0,1,3,0,1,11,366.67
SW Tait,2,0,0,0,0,0,1,3,0,1,6,200.0
SP Narine,1,2,0,0,0,0,0,3,0,1,2,66.67
Shakib Al Hasan,1,1,0,0,0,0,0,2,1,1,1,50.0
