,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Singh,1,1,0,0,3,0,0,5,0,1,13,260.0
GB Hogg,2,0,0,0,0,0,0,2,0,1,0,0.0
Pankaj Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
CR Woakes,2,0,0,0,1,0,0,3,0,1,4,133.33
C de Grandhomme,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,3,3,1,0,1,0,0,8,0,2,9,112.5
B Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
A Nehra,1,0,0,0,0,0,0,1,1,1,0,0.0
RJ Harris,0,1,0,0,0,0,0,1,0,1,1,100.0
SJ Srivastava,0,2,0,0,2,0,0,4,0,1,10,250.0
GJ Maxwell,3,2,0,0,0,0,0,5,1,1,2,40.0
VR Aaron,0,0,1,0,0,0,0,1,0,1,2,200.0
JD Unadkat,1,1,2,0,0,0,0,4,0,1,5,125.0
BA Stokes,2,1,0,0,0,0,0,3,0,1,1,33.33
Imran Tahir,1,0,0,0,0,0,0,1,0,1,0,0.0
LH Ferguson,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,1,0,0,0,0,0,0,1,0,1,0,0.0
RA Jadeja,1,1,0,0,0,0,0,2,0,1,1,50.0
AJ Tye,4,2,1,0,0,0,0,7,0,1,4,57.14
JP Faulkner,3,2,0,0,0,0,0,5,1,1,2,40.0
Basil Thampi,0,2,0,0,0,0,0,2,0,1,2,100.0
