,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
V Sehwag,1,4,1,0,0,0,0,6,0,1,6,100.0
A Mishra,9,10,2,0,1,0,0,22,0,2,18,81.82
TM Dilshan,3,9,0,0,1,0,1,14,0,2,19,135.71
DP Nannes,5,4,0,0,1,0,0,10,0,2,8,80.0
A Nehra,10,9,1,0,2,0,0,22,1,4,19,86.36
R Sharma,7,18,4,0,3,0,0,32,0,4,38,118.75
AB Dinda,2,5,1,0,0,0,0,8,0,1,7,87.5
AM Nayar,4,12,3,0,4,0,0,23,0,3,34,147.83
B Kumar,5,6,2,0,3,0,0,16,0,3,22,137.5
KW Richardson,0,2,0,0,0,0,0,2,0,1,2,100.0
LJ Wright,2,0,0,0,0,0,0,2,1,1,0,0.0
R Sathish,1,4,1,0,0,0,0,6,0,2,6,100.0
KA Pollard,17,25,2,0,5,0,0,49,2,6,49,100.0
Harbhajan Singh,9,22,3,0,2,0,1,37,0,7,42,113.51
SL Malinga,18,13,0,0,6,0,0,37,1,7,37,100.0
R McLaren,6,10,1,0,4,0,0,21,0,3,28,133.33
MR Marsh,3,3,0,0,1,0,0,7,1,2,7,100.0
AJ Finch,0,3,0,0,1,0,0,4,0,1,7,175.0
M Kartik,13,20,7,0,6,0,1,47,0,4,64,136.17
Yuvraj Singh,3,5,1,0,1,0,1,11,1,4,17,154.55
JD Ryder,3,3,0,0,2,0,0,8,0,1,11,137.5
JE Taylor,4,4,1,0,0,0,1,10,0,2,12,120.0
AC Thomas,1,4,0,0,1,0,0,6,0,2,8,133.33
MN Samuels,2,4,0,0,2,0,0,8,1,1,12,150.0
AD Mathews,1,3,1,0,3,0,0,8,0,2,17,212.5
DT Christian,7,5,0,0,1,0,0,13,1,3,9,69.23
DJ Harris,0,3,0,0,0,0,0,3,0,1,3,100.0
Ankit Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
TP Sudhindra,3,3,1,0,2,0,0,9,0,1,13,144.44
MS Gony,1,2,0,0,1,0,0,4,0,1,6,150.0
JH Kallis,6,7,0,0,1,0,0,14,1,4,11,78.57
R Vinay Kumar,8,8,0,0,3,0,1,20,2,6,26,130.0
Sohail Tanvir,1,0,1,0,1,0,0,3,0,2,6,200.0
S Aravind,9,1,1,0,1,0,0,12,0,2,7,58.33
Z Khan,14,5,2,0,1,0,0,22,0,3,13,59.09
A Mithun,1,3,0,0,1,0,0,5,1,1,7,140.0
V Kohli,3,3,0,0,2,0,0,8,0,1,11,137.5
DL Vettori,3,4,1,0,1,0,0,9,2,3,10,111.11
IK Pathan,11,9,2,0,1,0,2,25,1,6,29,116.0
S Sreesanth,8,6,1,0,2,0,0,17,1,3,16,94.12
B Lee,1,3,0,0,1,0,0,5,0,2,7,140.0
