,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,25,17,0,0,8,0,0,50,4,9,49,98.0
A Mithun,1,4,0,0,2,0,0,7,0,1,12,171.43
P Parameswaran,4,4,1,0,4,0,1,14,0,1,28,200.0
M Muralitharan,20,14,3,0,4,0,0,41,0,5,36,87.8
TM Dilshan,0,1,0,0,0,0,0,1,0,1,1,100.0
J Syed Mohammad,3,4,1,0,0,0,0,8,0,1,6,75.0
CH Gayle,12,8,0,0,3,0,0,23,0,3,20,86.96
PP Chawla,9,18,2,0,3,0,2,34,0,6,46,135.29
RR Powar,3,2,0,1,1,0,1,8,1,3,15,187.5
BAW Mendis,1,2,2,0,0,0,0,5,0,1,6,120.0
I Sharma,12,10,3,0,2,0,1,28,1,5,30,107.14
P Kumar,31,25,3,1,11,0,0,71,4,12,78,109.86
PJ Sangwan,8,3,2,0,5,0,0,18,0,3,27,150.0
T Thushara,1,1,0,0,0,0,0,2,1,2,1,50.0
JDP Oram,5,8,0,0,1,1,0,15,0,2,17,113.33
Joginder Sharma,4,5,1,0,4,0,0,14,0,2,23,164.29
MS Gony,6,5,0,0,1,0,0,12,1,3,9,75.0
B Kumar,9,8,1,0,1,0,0,19,1,4,14,73.68
WD Parnell,13,6,1,0,5,0,2,27,0,4,40,148.15
R Sharma,1,4,0,0,0,0,1,6,0,2,10,166.67
MR Marsh,3,6,1,0,2,0,0,12,0,2,16,133.33
Yuvraj Singh,3,2,0,0,0,0,0,5,2,2,2,40.0
J Yadav,5,13,2,0,1,0,0,21,0,4,21,100.0
NM Coulter-Nile,7,6,1,1,1,0,0,16,0,5,15,93.75
A Chandila,4,1,0,0,1,0,1,7,0,2,11,157.14
JP Faulkner,13,7,2,0,3,0,0,25,4,5,23,92.0
MA Starc,6,4,0,0,4,0,0,14,0,3,20,142.86
VR Aaron,16,10,1,0,4,0,1,32,1,4,34,106.25
AN Ahmed,12,7,1,0,1,0,2,23,0,3,25,108.7
YS Chahal,7,24,4,0,1,0,0,36,1,5,36,100.0
SE Bond,8,4,0,0,5,0,0,17,1,2,24,141.18
AB Dinda,22,6,2,1,5,0,0,36,1,6,33,91.67
JA Morkel,9,12,4,1,7,0,0,33,1,6,51,154.55
DE Bollinger,9,5,0,0,3,0,0,17,1,4,17,100.0
R Ashwin,29,33,5,0,2,0,0,69,1,9,51,73.91
S Randiv,5,3,1,0,0,0,0,9,0,1,5,55.56
SB Jakati,6,11,3,0,1,0,1,22,2,3,27,122.73
IK Pathan,20,16,1,0,8,0,1,46,2,9,56,121.74
S Tyagi,1,4,0,0,0,0,0,5,0,1,4,80.0
SR Watson,22,19,0,0,9,0,1,51,2,10,61,119.61
MM Patel,17,8,2,0,4,0,2,33,0,7,40,121.21
SK Trivedi,17,12,3,0,7,0,0,39,1,4,46,117.95
SK Warne,1,3,0,0,1,0,0,5,0,1,7,140.0
YK Pathan,13,24,1,0,1,0,2,41,1,8,42,102.44
D Salunkhe,1,3,0,0,0,0,0,4,0,1,3,75.0
M Kartik,1,2,0,0,0,0,0,3,1,1,2,66.67
MN Samuels,5,3,0,0,2,0,1,11,0,2,17,154.55
A Nehra,13,13,1,1,6,0,0,34,0,7,42,123.53
KW Richardson,13,7,0,0,3,0,0,23,1,3,19,82.61
DS Kulkarni,29,20,4,0,13,0,1,67,1,11,86,128.36
PV Tambe,3,11,2,0,0,0,2,18,0,3,27,150.0
R Bhatia,11,26,2,0,1,0,2,42,2,5,46,109.52
STR Binny,3,2,0,0,2,0,0,7,1,3,10,142.86
PP Ojha,17,15,1,0,4,0,3,40,2,7,51,127.5
Y Venugopal Rao,4,5,1,0,2,0,0,12,0,2,15,125.0
NLTC Perera,1,5,1,1,0,0,1,9,0,1,16,177.78
M Ashwin,1,2,1,0,0,0,0,4,0,1,4,100.0
JP Duminy,3,2,1,0,2,0,0,8,1,2,12,150.0
DJ Muthuswami,4,0,0,0,0,0,0,4,0,1,0,0.0
AD Mathews,3,5,1,0,3,0,1,13,0,2,25,192.31
HV Patel,6,7,1,0,1,0,0,15,0,3,13,86.67
D Wiese,1,0,0,0,1,0,0,2,1,1,4,200.0
SP Narine,15,14,2,1,2,0,1,35,1,8,35,100.0
Mohammed Shami,9,5,1,0,6,0,0,21,0,5,31,147.62
JH Kallis,7,11,3,0,2,0,3,26,2,4,43,165.38
Iqbal Abdulla,4,7,0,0,2,0,0,13,1,3,15,115.38
RJ Harris,13,11,2,0,8,0,0,34,0,4,47,138.24
BA Bhatt,2,4,0,0,3,0,1,10,0,1,22,220.0
PC Valthaty,5,9,0,0,0,0,0,14,1,2,9,64.29
R McLaren,1,5,0,0,4,0,0,10,0,2,21,210.0
MM Sharma,24,18,4,0,9,0,0,55,3,8,62,112.73
M Ntini,1,2,0,0,0,0,0,3,0,1,2,66.67
Sandeep Sharma,19,13,3,0,8,0,1,44,0,6,57,129.55
KJ Abbott,2,4,1,0,2,1,0,10,0,1,19,190.0
GJ Maxwell,2,8,1,0,3,0,0,14,1,4,22,157.14
R Dhawan,5,8,0,0,1,0,0,14,2,2,12,85.71
Parvez Rasool,2,1,0,0,1,0,0,4,1,2,5,125.0
JD Unadkat,7,6,1,0,5,0,1,20,0,3,34,170.0
Washington Sundar,6,6,0,0,2,0,0,14,0,2,14,100.0
BA Stokes,3,1,0,0,1,0,0,5,1,2,5,100.0
Anureet Singh,9,4,1,0,5,0,0,19,0,3,26,136.84
AR Patel,5,8,0,0,0,0,1,14,0,3,14,100.0
KC Cariappa,3,6,2,0,2,0,0,13,0,1,18,138.46
B Lee,15,8,2,0,6,0,0,31,1,5,36,116.13
CH Morris,14,10,1,0,5,0,1,31,1,5,38,122.58
A Mishra,4,10,1,0,1,0,0,16,2,3,16,100.0
BJ Hodge,0,3,0,0,0,0,0,3,0,2,3,100.0
SM Pollock,7,0,0,0,0,0,1,8,1,2,6,75.0
DW Steyn,6,4,1,0,1,0,0,12,0,3,10,83.33
DJ Bravo,9,14,1,0,8,0,0,32,0,5,48,150.0
SK Raina,15,13,0,0,1,0,2,31,1,5,29,93.55
RA Jadeja,8,10,5,1,1,0,1,26,0,3,33,126.92
AF Milne,3,3,0,0,0,0,0,6,0,1,3,50.0
AD Russell,5,5,0,0,4,0,1,15,1,3,27,180.0
UT Yadav,23,20,1,0,11,0,0,55,1,10,66,120.0
J Botha,14,14,0,0,2,0,0,30,2,6,22,73.33
GB Hogg,7,5,2,0,2,0,0,16,1,2,17,106.25
