,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SP Narine,6,1,1,0,0,0,0,8,0,2,3,37.5
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
R Ashwin,6,1,1,0,0,0,0,8,0,2,3,37.5
RA Jadeja,2,2,0,0,0,0,0,4,1,1,2,50.0
MM Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
JJ Bumrah,3,1,0,0,0,0,0,4,0,1,1,25.0
R Vinay Kumar,1,0,0,0,0,0,0,1,0,1,0,0.0
JA Morkel,3,0,0,0,0,0,0,3,0,1,0,0.0
SL Malinga,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Ojha,1,1,0,0,0,0,0,2,1,1,1,50.0
Avesh Khan,1,1,0,0,0,0,0,2,0,1,1,50.0
P Negi,5,1,0,0,0,0,0,6,2,2,1,16.67
AD Mathews,1,0,1,0,0,0,0,2,0,1,2,100.0
AB Dinda,2,0,0,0,1,0,0,3,1,1,4,133.33
Iqbal Abdulla,2,2,0,0,0,0,0,4,0,1,2,50.0
MA Starc,3,0,0,0,0,0,0,3,1,1,0,0.0
BCJ Cutting,2,0,0,0,0,0,0,2,1,1,0,0.0
R Bhatia,1,1,0,0,0,0,0,2,0,1,1,50.0
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
R Dhawan,3,0,0,0,0,0,0,3,0,1,0,0.0
MG Johnson,2,0,0,0,0,0,0,2,0,1,0,0.0
AR Patel,0,2,0,0,0,0,0,2,0,1,2,100.0
Karanveer Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,1,0,0,0,0,0,0,1,0,1,0,0.0
DJG Sammy,2,0,0,0,0,0,0,2,0,1,0,0.0
KA Pollard,1,0,0,0,0,0,0,1,1,1,0,0.0
