,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Hussey,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,1,2,0,0,0,0,0,3,0,1,2,66.67
MM Sharma,1,1,1,0,0,0,0,3,0,1,3,100.0
R Bhatia,2,1,0,0,0,0,0,3,0,1,1,33.33
YK Pathan,1,2,0,0,0,0,0,3,0,1,2,66.67
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,0,2,0,0,2,0,0,4,0,1,10,250.0
L Balaji,5,2,1,0,2,0,0,10,1,2,12,120.0
Sandeep Sharma,3,1,1,0,0,0,1,6,0,1,9,150.0
MG Johnson,2,0,0,0,0,0,0,2,0,1,0,0.0
AR Patel,1,1,0,0,0,0,0,2,1,1,1,50.0
KW Richardson,1,3,0,0,0,0,0,4,0,1,3,75.0
TG Southee,2,0,0,0,0,0,0,2,0,1,0,0.0
SR Watson,3,0,0,0,0,0,0,3,1,1,0,0.0
S Kaul,3,2,0,0,0,0,0,5,0,1,2,40.0
R Shukla,1,2,2,0,0,0,0,5,0,1,6,120.0
Imran Tahir,0,0,1,0,0,0,0,1,0,1,2,200.0
Mohammed Shami,1,1,0,0,1,0,0,3,0,1,5,166.67
IK Pathan,1,0,0,0,1,0,0,2,0,1,4,200.0
B Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,1,1,1,0,1,0,0,4,0,1,7,175.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
R Vinay Kumar,1,3,1,0,1,0,0,6,0,1,9,150.0
UT Yadav,1,1,2,0,1,0,0,5,0,1,9,180.0
