,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
I Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
AB Dinda,8,6,0,0,2,0,2,18,0,2,26,144.44
CH Gayle,2,1,1,0,0,0,1,5,0,1,9,180.0
AB Agarkar,1,0,0,0,0,0,0,1,1,1,0,0.0
B Kumar,2,1,1,0,0,0,0,4,0,1,3,75.0
WD Parnell,5,2,0,0,1,0,0,8,0,1,6,75.0
R Sharma,2,2,1,0,0,0,1,6,1,1,10,166.67
MR Marsh,5,2,0,0,1,0,1,9,1,2,12,133.33
Yuvraj Singh,3,3,0,0,0,0,0,6,0,1,3,50.0
RJ Harris,11,4,1,0,2,0,1,19,1,3,20,105.26
RP Singh,11,2,2,0,2,0,0,17,2,3,14,82.35
Shoaib Ahmed,1,1,0,0,0,0,1,3,0,1,7,233.33
RG Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
A Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
JA Morkel,6,2,1,0,3,0,1,13,1,2,22,169.23
DE Bollinger,1,1,0,0,1,0,1,4,0,1,11,275.0
R Ashwin,6,1,1,0,0,0,1,9,0,1,9,100.0
S Randiv,3,1,0,0,1,0,1,6,0,1,11,183.33
SB Jakati,1,1,0,0,1,0,0,3,1,1,5,166.67
IK Pathan,3,2,0,0,3,0,0,8,0,1,14,175.0
M Morkel,2,4,1,0,1,0,1,9,0,1,16,177.78
JR Hopes,0,3,0,0,2,0,0,5,0,1,11,220.0
S Nadeem,2,3,1,0,0,0,0,6,1,1,5,83.33
Y Nagar,0,2,1,0,0,0,0,3,0,1,4,133.33
Harbhajan Singh,4,3,0,1,0,0,0,8,0,3,6,75.0
DS Kulkarni,4,4,0,0,2,0,1,11,1,3,18,163.64
SK Warne,1,0,0,0,0,0,0,1,0,1,0,0.0
MM Patel,4,3,1,0,0,0,1,9,0,3,11,122.22
A Nehra,8,2,0,0,0,0,0,10,1,1,2,20.0
MF Maharoof,1,1,0,0,0,0,0,2,0,1,1,50.0
MS Gony,3,2,0,0,0,0,0,5,0,1,2,40.0
T Thushara,4,1,0,0,0,0,0,5,1,1,1,20.0
P Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
SL Malinga,13,0,1,0,3,0,0,17,0,2,14,82.35
DJ Bravo,2,1,0,0,0,0,2,5,0,1,13,260.0
TL Suman,0,4,0,0,0,0,1,5,0,1,10,200.0
KA Pollard,3,0,0,0,0,0,0,3,1,1,0,0.0
Z Khan,6,2,0,0,1,0,0,9,0,1,6,66.67
JJ van der Wath,6,0,0,0,1,0,0,7,0,1,4,57.14
S Aravind,6,1,1,0,3,0,0,11,0,1,15,136.36
DL Vettori,3,4,0,0,0,0,0,7,0,1,4,57.14
R Ninan,2,1,1,0,0,0,1,5,1,1,9,180.0
B Lee,5,2,0,0,0,0,0,7,0,1,2,28.57
L Balaji,3,2,0,0,3,0,0,8,0,1,14,175.0
Iqbal Abdulla,1,1,2,0,0,1,0,5,1,1,10,200.0
