,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Singh,3,0,0,0,0,0,0,3,0,1,0,0.0
SK Trivedi,5,0,0,0,1,0,0,6,0,2,4,66.67
R Vinay Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
DS Kulkarni,1,0,0,0,0,0,0,1,1,1,0,0.0
Jaskaran Singh,2,0,0,0,3,0,0,5,0,1,12,240.0
L Balaji,2,0,0,0,0,0,0,2,0,1,0,0.0
JH Kallis,1,1,0,0,0,0,0,2,0,1,1,50.0
RE van der Merwe,2,0,0,0,0,0,0,2,1,1,0,0.0
A Mishra,1,0,0,0,0,0,0,1,0,1,0,0.0
SL Malinga,5,1,0,0,0,0,0,6,0,1,1,16.67
Harbhajan Singh,5,0,0,0,0,0,0,5,0,1,0,0.0
R Sharma,4,0,0,0,0,0,0,4,0,1,0,0.0
AC Thomas,1,1,0,0,0,0,0,2,0,1,1,50.0
SW Tait,1,0,0,0,0,0,0,1,0,1,0,0.0
DP Nannes,5,1,0,0,1,0,0,7,0,1,5,71.43
MF Maharoof,2,1,0,0,0,0,0,3,0,1,1,33.33
PJ Sangwan,1,1,2,0,1,0,0,5,0,1,9,180.0
