,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SR Watson,9,1,1,0,2,0,1,14,0,2,17,121.43
MM Patel,2,3,0,0,0,0,0,5,0,1,3,60.0
YK Pathan,2,0,0,0,0,0,0,2,1,1,0,0.0
Sohail Tanvir,3,1,0,0,0,0,0,4,1,1,1,25.0
DW Steyn,3,0,0,0,0,0,0,3,1,1,0,0.0
S Sreesanth,5,1,0,0,2,0,0,8,1,2,9,112.5
SM Pollock,2,2,1,0,0,0,0,5,1,1,4,80.0
A Nehra,3,0,0,0,3,0,0,6,0,1,12,200.0
VY Mahesh,4,3,1,1,2,0,1,12,0,2,22,183.33
PJ Sangwan,9,5,0,0,3,0,0,17,1,2,17,100.0
Shoaib Malik,1,2,1,0,1,0,0,5,0,1,8,160.0
V Sehwag,1,1,1,0,1,0,1,5,0,1,13,260.0
Mohammad Asif,3,4,0,0,4,0,0,11,0,2,20,181.82
GD McGrath,5,6,0,0,2,0,0,13,1,2,14,107.69
IK Pathan,3,1,0,0,1,0,0,5,1,1,5,100.0
