,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Bhatia,3,9,0,0,0,0,0,12,0,2,9,75.0
Iqbal Abdulla,1,1,1,0,1,0,0,4,0,1,7,175.0
PV Tambe,2,3,2,0,1,0,0,8,0,2,11,137.5
SR Watson,3,5,0,0,1,0,1,10,0,2,15,150.0
KW Richardson,0,2,0,0,0,0,0,2,0,1,2,100.0
JP Faulkner,5,4,0,0,0,0,0,9,1,2,4,44.44
YS Chahal,7,9,1,0,2,0,0,19,0,5,19,100.0
MA Starc,5,2,2,0,0,0,1,10,0,2,12,120.0
VR Aaron,2,2,0,0,0,0,0,4,0,1,2,50.0
AB Dinda,2,1,1,0,1,0,0,5,0,1,7,140.0
B Kumar,6,2,2,0,2,0,1,13,1,5,20,153.85
Karanveer Singh,4,0,0,0,2,0,0,6,1,1,8,133.33
AR Patel,7,8,0,0,0,0,0,15,0,4,8,53.33
R Dhawan,1,3,2,1,1,0,1,9,0,2,20,222.22
TG Southee,4,1,0,0,0,0,0,5,1,2,1,20.0
Imran Tahir,0,9,0,0,1,0,0,10,0,3,13,130.0
A Mishra,1,2,1,0,0,0,0,4,0,2,4,100.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
HH Pandya,0,2,1,0,0,0,0,3,0,2,4,133.33
Harbhajan Singh,2,11,1,0,4,0,0,18,0,3,29,161.11
KH Pandya,5,9,1,0,2,0,1,18,0,3,25,138.89
MJ McClenaghan,2,3,0,0,0,0,0,5,1,3,3,60.0
JJ Bumrah,4,5,0,0,1,0,3,13,1,5,27,207.69
GJ Maxwell,0,2,0,0,0,0,0,2,0,1,2,100.0
Gurkeerat Singh,2,3,0,0,0,0,0,5,1,1,3,60.0
BE Hendricks,1,0,0,0,1,0,0,2,0,1,4,200.0
DT Christian,1,4,0,0,0,0,1,6,0,1,10,166.67
JD Unadkat,1,2,0,0,2,0,1,6,0,1,16,266.67
BA Stokes,0,2,0,0,0,0,0,2,0,1,2,100.0
CH Morris,1,6,1,0,0,0,0,8,1,3,8,100.0
JA Morkel,3,1,0,0,3,0,0,7,0,1,13,185.71
NLTC Perera,5,4,0,0,3,0,0,12,1,2,16,133.33
R Ashwin,6,8,0,0,0,0,2,16,0,3,20,125.0
Ankit Sharma,1,4,0,0,0,0,0,5,0,1,4,80.0
M Ashwin,8,4,0,0,1,0,0,13,1,1,8,61.54
RA Jadeja,14,7,0,0,1,0,0,22,1,3,11,50.0
SK Raina,4,4,1,1,0,0,0,10,0,2,9,90.0
MM Sharma,4,0,0,0,2,0,0,6,1,2,8,133.33
NM Coulter-Nile,3,1,0,0,3,0,0,7,1,2,13,185.71
KJ Abbott,0,1,0,0,0,0,0,1,0,1,1,100.0
P Negi,1,4,0,0,0,0,0,5,1,2,4,80.0
RG More,1,0,0,0,0,0,0,1,1,1,0,0.0
AD Mathews,1,2,0,0,0,0,0,3,0,1,2,66.67
JP Duminy,2,1,1,0,0,0,1,5,0,1,9,180.0
KV Sharma,0,5,0,0,1,0,0,6,0,2,9,150.0
PJ Cummins,3,2,1,0,0,0,0,6,1,1,4,66.67
S Badree,2,1,0,0,0,0,0,3,0,1,1,33.33
S Aravind,2,1,1,0,2,0,0,6,1,3,11,183.33
TS Mills,1,1,0,0,0,0,0,2,0,1,1,50.0
M Kartik,1,0,0,0,0,0,0,1,0,1,0,0.0
MN Samuels,1,0,0,0,0,0,0,1,1,1,0,0.0
SL Malinga,2,5,2,0,0,0,1,10,1,4,15,150.0
R Vinay Kumar,1,3,0,0,3,0,1,8,0,2,21,262.5
Sandeep Sharma,3,0,0,0,3,0,0,6,1,2,12,200.0
MG Johnson,5,3,2,0,0,0,3,13,1,4,25,192.31
CR Brathwaite,2,3,1,0,1,0,1,8,1,1,15,187.5
Basil Thampi,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,1,1,1,0,0,0,0,3,0,1,3,100.0
Mustafizur Rahman,1,1,0,0,1,0,0,3,0,1,5,166.67
BCJ Cutting,0,2,2,0,0,0,0,4,0,1,6,150.0
BB Sran,0,2,0,0,0,0,1,3,0,1,8,266.67
MC Henriques,1,1,0,0,0,0,0,2,1,1,1,50.0
DR Smith,5,0,1,0,0,0,0,6,1,2,2,33.33
SB Jakati,1,3,0,0,0,0,1,5,1,1,9,180.0
DJ Bravo,0,1,0,0,1,0,0,2,0,1,5,250.0
T Shamsi,1,1,0,0,1,0,0,3,0,1,5,166.67
IC Pandey,2,1,1,0,0,0,0,4,0,1,3,75.0
A Nehra,2,0,0,0,1,0,0,3,1,1,4,133.33
P Kumar,8,0,1,0,0,0,0,9,0,1,2,22.22
L Balaji,1,2,1,0,1,0,0,5,0,1,8,160.0
SA Abbott,1,1,0,0,1,0,0,3,0,1,5,166.67
HV Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
CJ Anderson,1,1,0,0,3,0,0,5,0,1,13,260.0
