,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Patel,2,1,0,0,0,0,0,3,0,1,1,33.33
Kamran Khan,5,1,0,0,0,0,0,6,1,1,1,16.67
SK Warne,2,0,1,0,0,0,0,3,0,1,2,66.67
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
SR Watson,2,0,0,0,0,0,0,2,1,1,0,0.0
PP Chawla,3,1,0,0,0,0,0,4,1,1,1,25.0
Gagandeep Singh,2,2,0,0,0,0,0,4,0,1,2,50.0
DJ Hussey,1,1,0,0,0,0,1,3,0,1,7,233.33
I Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Agarkar,1,2,0,0,0,0,0,3,0,1,2,66.67
M Kartik,1,0,0,0,1,0,0,2,1,1,4,200.0
R Bhatia,4,4,0,0,0,0,0,8,0,1,4,50.0
VY Mahesh,0,3,0,0,0,0,0,3,0,1,3,100.0
Mohammad Asif,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Dinda,1,1,0,0,0,0,0,2,0,1,1,50.0
SC Ganguly,1,1,0,0,0,0,0,2,1,1,1,50.0
Z Khan,0,3,0,0,0,0,0,3,0,1,3,100.0
A Kumble,0,2,0,0,0,0,2,4,0,1,14,350.0
