,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
VRV Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,0,1,0,0,1,0,0,2,0,1,5,250.0
SK Warne,1,2,0,0,0,0,0,3,0,1,2,66.67
MM Patel,0,2,0,0,0,0,0,2,0,1,2,100.0
YK Pathan,1,2,0,0,0,0,1,4,1,1,8,200.0
SK Trivedi,1,1,0,0,0,0,0,2,0,1,1,50.0
KP Pietersen,1,2,1,0,0,0,1,5,1,1,10,200.0
P Kumar,0,4,1,0,0,0,0,5,0,2,6,120.0
M Kartik,1,1,0,0,1,0,0,3,0,1,5,166.67
Mohammad Hafeez,3,1,0,0,0,0,0,4,1,1,1,25.0
MS Gony,2,5,0,0,1,0,0,8,0,2,9,112.5
M Ntini,7,6,0,0,0,0,0,13,0,2,6,46.15
Joginder Sharma,1,3,0,0,1,0,0,5,0,1,7,140.0
M Muralitharan,10,6,0,0,1,0,0,17,1,2,10,58.82
JA Morkel,7,5,0,0,2,0,1,15,0,2,19,126.67
L Balaji,2,1,0,0,1,0,0,4,0,1,5,125.0
A Mishra,2,3,1,0,0,0,0,6,0,1,5,83.33
R Bhatia,4,3,1,0,0,0,0,8,0,1,5,62.5
MF Maharoof,2,5,0,0,0,0,0,7,1,1,5,71.43
Mohammad Asif,0,4,1,0,2,0,0,7,0,1,14,200.0
Umar Gul,2,3,0,0,0,0,0,5,0,1,3,60.0
SC Ganguly,4,2,0,0,0,0,0,6,1,1,2,33.33
Z Khan,1,0,0,0,0,0,0,1,1,1,0,0.0
