,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Patel,16,8,3,0,3,0,3,33,2,5,44,133.33
Ankit Sharma,3,2,0,0,1,0,0,6,0,2,6,100.0
JP Duminy,13,9,1,0,3,0,1,27,0,3,29,107.41
DW Steyn,23,8,1,0,5,0,1,38,0,5,36,94.74
V Pratap Singh,2,2,0,0,1,0,0,5,0,1,6,120.0
A Mishra,20,13,1,0,2,0,2,38,0,5,35,92.11
A Ashish Reddy,1,2,1,0,0,0,0,4,0,1,4,100.0
S Dhawan,2,0,0,0,0,0,0,2,1,1,0,0.0
DP Nannes,14,4,0,0,1,0,0,19,2,2,8,42.11
AB McDonald,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,5,3,0,0,1,0,0,9,1,4,7,77.78
DJ Bravo,9,8,1,0,2,0,1,21,0,5,24,114.29
Harbhajan Singh,18,9,1,0,2,0,0,30,2,4,19,63.33
Z Khan,10,2,0,0,1,1,0,14,2,5,11,78.57
AM Nayar,3,4,0,0,0,0,0,7,1,1,4,57.14
SR Tendulkar,0,6,0,0,0,0,0,6,0,1,6,100.0
MF Maharoof,4,2,1,0,2,0,0,9,0,1,12,133.33
DL Vettori,4,4,0,0,3,0,0,11,1,2,16,145.45
PJ Sangwan,8,5,0,0,1,0,0,14,0,2,9,64.29
PD Collingwood,2,4,0,0,1,0,1,8,0,1,14,175.0
R Bhatia,4,12,0,0,2,0,1,19,1,3,26,136.84
Yuvraj Singh,0,1,0,1,0,0,0,2,0,1,4,200.0
VS Malik,6,5,0,0,0,0,0,11,0,2,5,45.45
RR Powar,14,5,0,0,2,0,1,22,0,3,19,86.36
YA Abdulla,0,2,0,0,1,0,0,3,0,1,6,200.0
PP Chawla,5,10,2,0,2,0,4,23,1,3,46,200.0
RE van der Merwe,2,3,0,0,0,0,0,5,0,1,3,60.0
P Kumar,23,11,0,0,6,0,1,41,2,7,41,100.0
A Kumble,14,1,0,0,2,0,0,17,0,4,9,52.94
JH Kallis,3,8,1,0,3,0,1,16,0,4,28,175.0
VY Mahesh,4,1,0,0,0,0,1,6,1,1,7,116.67
Kamran Khan,10,5,0,0,2,0,0,17,1,2,13,76.47
AD Mascarenhas,2,2,2,0,0,0,0,6,2,3,6,100.0
SK Warne,13,16,5,0,2,0,1,37,1,5,40,108.11
RA Jadeja,2,3,0,0,0,0,0,5,0,2,3,60.0
JP Faulkner,4,1,0,0,1,0,0,6,0,1,5,83.33
AG Murtaza,7,2,0,0,0,0,1,10,0,1,8,80.0
CRD Fernando,2,2,0,0,1,0,1,6,0,1,12,200.0
R McLaren,5,2,1,0,4,0,0,12,0,2,20,166.67
STR Binny,0,3,0,0,0,0,0,3,0,1,3,100.0
R Sathish,2,1,0,0,0,0,0,3,1,1,1,33.33
PP Ojha,24,13,0,0,4,0,6,47,2,6,65,138.3
I Sharma,4,1,2,0,2,0,0,9,0,1,13,144.44
DT Christian,5,2,0,0,0,0,0,7,1,2,2,28.57
SP Narine,10,3,0,0,1,0,0,14,0,1,7,50.0
YK Pathan,12,20,1,1,5,0,0,39,0,7,45,115.38
JDP Oram,1,1,1,0,1,0,0,4,0,1,7,175.0
MS Gony,7,6,1,0,1,0,1,16,1,4,18,112.5
M Muralitharan,12,3,0,0,0,0,0,15,1,3,3,20.0
