,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DJ Harris,0,2,0,0,0,0,0,2,0,1,2,100.0
J Theron,0,1,1,0,0,0,0,2,0,1,3,150.0
A Ashish Reddy,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,2,2,0,0,0,0,0,4,0,1,2,50.0
MS Gony,4,1,0,0,1,0,0,6,0,1,5,83.33
TP Sudhindra,0,2,1,0,0,0,0,3,0,1,4,133.33
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
S Sreesanth,0,2,1,0,0,0,0,3,0,1,4,133.33
VRV Singh,0,1,0,0,1,0,1,3,0,1,11,366.67
SL Malinga,3,1,0,0,1,0,0,5,0,1,5,100.0
DS Kulkarni,2,1,0,0,0,0,0,3,0,1,1,33.33
DJ Bravo,4,2,0,0,1,0,0,7,1,2,6,85.71
M Morkel,3,0,0,0,0,0,0,3,0,1,0,0.0
UT Yadav,2,1,0,0,0,0,0,3,0,1,1,33.33
VR Aaron,7,3,1,0,2,0,0,13,0,1,13,100.0
AD Russell,2,2,0,0,3,0,0,7,1,1,14,200.0
IK Pathan,2,4,0,0,0,0,1,7,0,1,10,142.86
JA Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
VY Mahesh,2,2,1,0,0,0,0,5,1,2,4,80.0
BW Hilfenhaus,1,0,0,0,0,0,0,1,1,1,0,0.0
MF Maharoof,0,1,0,0,0,0,0,1,0,1,1,100.0
GD McGrath,0,2,0,0,0,0,0,2,0,1,2,100.0
MR Marsh,0,2,0,0,0,0,0,2,0,1,2,100.0
R Sharma,1,2,0,0,1,0,0,4,0,1,6,150.0
WD Parnell,2,1,0,0,0,0,0,3,1,1,1,33.33
