,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Kumar,12,17,7,0,6,0,5,47,3,12,85,180.85
JH Kallis,22,30,4,0,7,0,1,64,2,11,72,112.5
B Akhil,3,5,0,0,1,0,1,10,0,2,15,150.0
MM Sharma,5,10,0,0,2,0,2,19,1,4,30,157.89
MP Stoinis,6,0,0,0,1,0,1,8,1,2,10,125.0
AR Patel,4,17,2,0,4,0,0,27,1,7,37,137.04
DP Nannes,3,6,1,0,1,0,0,11,0,3,12,109.09
A Nehra,17,7,1,0,0,0,1,26,1,8,15,57.69
UT Yadav,43,18,1,0,12,0,2,76,1,11,80,105.26
TM Dilshan,7,12,2,0,0,0,1,22,1,4,22,100.0
PP Chawla,27,34,8,0,12,0,9,90,4,14,152,168.89
GB Hogg,8,8,0,0,0,0,0,16,0,3,8,50.0
AD Russell,7,3,0,0,2,0,0,12,2,3,11,91.67
M Ashwin,4,6,2,0,0,0,0,12,1,2,10,83.33
R Ashwin,7,8,2,0,0,0,0,17,0,2,12,70.59
R Bhatia,9,22,4,1,3,0,0,39,2,9,45,115.38
I Sharma,9,13,5,0,7,0,2,36,1,7,63,175.0
T Natarajan,3,6,1,0,2,0,0,12,0,2,16,133.33
VR Aaron,9,7,2,1,5,0,0,24,1,5,34,141.67
GJ Maxwell,5,6,0,0,0,0,0,11,1,4,6,54.55
Sandeep Sharma,10,8,3,1,6,0,4,32,1,7,65,203.12
Shakib Al Hasan,12,9,2,0,3,0,1,27,2,5,31,114.81
SP Narine,15,28,6,0,5,0,4,58,0,9,84,144.83
R Vinay Kumar,23,22,2,0,9,0,6,62,1,13,98,158.06
JD Unadkat,5,6,2,0,2,0,0,15,0,2,18,120.0
Mohammed Shami,8,8,2,0,2,0,2,22,0,4,32,145.45
JDS Neesham,6,5,1,0,1,0,0,13,1,1,11,84.62
JP Duminy,4,9,5,0,2,0,0,20,0,3,27,135.0
S Nadeem,2,5,3,0,1,0,1,12,0,5,21,175.0
M Vijay,1,1,0,0,3,0,0,5,0,1,13,260.0
S Aravind,14,6,0,0,1,0,4,25,0,5,34,136.0
CH Gayle,12,6,3,0,4,0,0,25,1,3,28,112.0
IK Pathan,21,9,2,0,7,0,4,43,1,9,65,151.16
RE van der Merwe,4,4,1,0,0,0,0,9,1,3,6,66.67
M Morkel,6,10,1,0,2,0,2,21,0,4,32,152.38
Rashid Khan,3,3,0,0,0,0,0,6,1,2,3,50.0
B Kumar,18,16,1,0,8,0,2,45,3,9,62,137.78
MJ McClenaghan,7,6,0,0,6,0,1,20,1,4,36,180.0
SL Malinga,21,23,4,2,5,0,2,57,1,10,69,121.05
Harbhajan Singh,42,65,7,0,4,0,6,124,5,18,131,105.65
JJ Bumrah,11,5,2,0,3,0,1,22,1,5,27,122.73
KH Pandya,2,11,1,0,3,0,0,17,0,3,25,147.06
Parvez Rasool,1,4,0,0,0,0,0,5,0,2,4,80.0
KV Sharma,5,8,0,0,0,0,2,15,1,6,20,133.33
KW Richardson,4,8,1,0,2,0,1,16,0,2,24,150.0
R Sharma,4,12,2,0,0,0,0,18,1,3,16,88.89
AB Dinda,11,14,2,0,8,0,1,36,1,6,56,155.56
AM Nayar,3,7,2,0,1,0,1,14,0,2,21,150.0
LJ Wright,0,2,0,0,0,0,0,2,0,1,2,100.0
AN Ahmed,6,10,3,0,1,0,1,21,0,3,26,123.81
R McLaren,2,5,0,0,0,0,0,7,0,2,5,71.43
DJ Bravo,13,11,1,0,3,0,5,33,4,6,55,166.67
YK Pathan,23,32,1,0,6,0,2,64,3,14,70,109.38
B Lee,7,3,2,0,0,0,2,14,0,3,19,135.71
M Kartik,5,9,0,0,4,0,0,18,0,5,25,138.89
BAW Mendis,0,5,0,0,1,0,2,8,0,1,21,262.5
BJ Hodge,3,2,0,0,0,0,0,5,1,2,2,40.0
DJ Hussey,10,9,4,0,2,0,1,26,0,3,31,119.23
AB Agarkar,9,6,0,0,1,0,0,16,0,3,10,62.5
BB Sran,2,7,2,0,2,0,0,13,0,1,19,146.15
Mustafizur Rahman,0,5,0,0,1,0,0,6,0,1,9,150.0
DJ Hooda,2,8,1,0,1,0,0,12,0,2,14,116.67
MC Henriques,3,9,1,0,0,0,0,13,1,2,11,84.62
Bipul Sharma,0,3,0,0,1,0,0,4,0,1,7,175.0
JD Ryder,0,2,0,0,0,0,0,2,0,1,2,100.0
JE Taylor,4,0,1,0,0,0,2,7,0,1,14,200.0
AC Thomas,4,4,1,0,1,0,0,10,1,2,10,100.0
MN Samuels,4,5,3,0,0,0,2,14,0,3,23,164.29
Ankit Sharma,2,2,1,0,0,0,0,5,1,3,4,80.0
DW Steyn,9,14,0,0,3,0,0,26,0,7,26,100.0
MS Gony,1,4,0,0,1,0,2,8,0,2,20,250.0
DT Christian,7,5,0,0,2,0,0,14,1,4,13,92.86
A Kumble,9,11,1,0,0,0,0,21,0,4,13,61.9
KP Pietersen,7,9,1,0,0,0,0,17,0,3,11,64.71
SK Trivedi,10,24,11,0,10,0,1,56,1,7,92,164.29
SK Warne,23,27,6,0,5,0,1,62,3,8,65,104.84
