,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Mohammad Asif,1,1,0,0,0,0,0,2,0,1,1,50.0
RP Singh,6,1,0,0,0,0,0,7,1,2,1,14.29
R Rampaul,1,0,1,0,0,0,0,2,1,1,2,100.0
RG Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mishra,1,1,0,0,0,0,0,2,0,1,1,50.0
DP Nannes,2,2,0,0,0,0,0,4,0,1,2,50.0
A Nehra,3,2,1,0,0,0,0,6,0,2,4,66.67
MF Maharoof,3,1,0,0,0,0,0,4,0,1,1,25.0
DL Vettori,1,1,0,0,0,0,0,2,0,1,1,50.0
GD McGrath,0,1,0,0,0,0,0,1,0,1,1,100.0
Shakib Al Hasan,1,0,0,0,0,0,0,1,0,1,0,0.0
B Lee,1,0,0,0,0,0,0,1,1,1,0,0.0
JDP Oram,0,2,0,0,0,0,0,2,0,1,2,100.0
L Balaji,1,0,0,0,0,0,0,1,1,1,0,0.0
KA Pollard,0,0,1,0,0,0,0,1,0,1,2,200.0
SL Malinga,3,0,0,0,0,0,0,3,0,1,0,0.0
MM Patel,0,1,1,0,0,0,0,2,0,1,3,150.0
DJ Bravo,2,0,0,0,0,0,0,2,1,1,0,0.0
AB Dinda,1,0,0,0,1,0,0,2,1,1,4,200.0
A Kumble,1,0,0,0,0,0,0,1,0,1,0,0.0
RJ Harris,3,0,0,0,1,0,0,4,0,1,4,100.0
DR Smith,1,1,0,0,1,0,0,3,1,1,5,166.67
S Ladda,3,0,0,0,0,0,1,4,0,1,6,150.0
V Sehwag,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,1,0,0,0,0,0,0,1,0,1,0,0.0
