,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
VY Mahesh,1,0,0,0,0,0,0,1,1,1,0,0.0
AB Agarkar,3,1,0,0,0,0,0,4,1,1,1,25.0
LR Shukla,7,4,1,0,1,0,0,13,0,2,10,76.92
AB Dinda,2,1,1,0,0,0,0,4,0,2,3,75.0
SS Sarkar,3,4,1,0,0,0,0,8,0,1,6,75.0
CK Langeveldt,1,2,0,0,0,0,0,3,0,1,2,66.67
BJ Hodge,3,1,0,0,0,0,0,4,1,1,1,25.0
P Parameswaran,4,1,0,0,0,0,0,5,0,1,1,20.0
SL Malinga,0,1,0,0,0,0,0,1,0,1,1,100.0
RG Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
A Mishra,6,0,0,0,0,0,1,7,2,3,6,85.71
DL Vettori,2,4,0,0,0,0,0,6,0,1,4,66.67
B Geeves,3,0,1,0,2,0,0,6,0,1,10,166.67
MF Maharoof,2,0,0,0,0,0,0,2,2,2,0,0.0
L Balaji,6,6,0,0,0,0,0,12,1,4,6,50.0
Shakib Al Hasan,1,1,0,0,0,0,0,2,0,1,1,50.0
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
M Muralitharan,1,0,0,0,0,0,0,1,0,1,0,0.0
JDP Oram,3,1,0,0,0,0,0,4,0,1,1,25.0
I Sharma,2,2,1,0,0,0,0,5,0,2,4,80.0
Umar Gul,0,2,0,0,0,0,0,2,0,1,2,100.0
DS Kulkarni,3,1,0,0,0,0,0,4,1,1,1,25.0
RR Raje,1,2,0,0,1,0,0,4,0,1,6,150.0
M Kartik,0,1,0,0,0,0,0,1,0,1,1,100.0
SE Bond,4,0,0,0,0,0,0,4,1,2,0,0.0
R Vinay Kumar,3,1,1,0,0,0,0,5,0,1,3,60.0
P Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
A Kumble,6,0,0,0,0,0,0,6,2,2,0,0.0
Harmeet Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
RP Singh,3,3,0,0,0,0,0,6,0,2,3,50.0
SB Jakati,1,1,1,0,0,0,1,4,0,1,9,225.0
JA Morkel,2,4,0,0,2,0,0,8,0,2,12,150.0
PP Chawla,2,2,0,0,1,0,0,5,0,1,6,120.0
VRV Singh,0,5,0,0,0,0,0,5,0,1,5,100.0
RR Powar,0,2,0,0,0,0,0,2,0,1,2,100.0
Yuvraj Singh,3,3,0,0,0,0,0,6,0,1,3,50.0
YA Abdulla,4,3,0,0,1,0,0,8,0,1,7,87.5
IK Pathan,3,3,2,0,1,0,0,9,0,1,11,122.22
V Sehwag,0,1,0,0,1,0,0,2,0,1,5,250.0
GD McGrath,3,1,0,0,0,0,0,4,0,1,1,25.0
PJ Sangwan,2,1,2,0,0,0,0,5,0,1,5,100.0
Shahid Afridi,2,0,0,0,1,0,0,3,0,1,4,133.33
A Symonds,0,0,0,0,1,0,2,3,0,1,16,533.33
SK Raina,2,0,0,0,0,0,0,2,1,1,0,0.0
BA Bhatt,1,1,0,0,1,0,0,3,0,1,5,166.67
Y Venugopal Rao,1,3,0,0,0,0,2,6,0,1,15,250.0
PP Ojha,4,4,0,0,0,0,0,8,1,1,4,50.0
Shoaib Ahmed,1,2,0,0,0,0,0,3,0,1,2,66.67
JD Ryder,2,1,1,0,0,0,0,4,0,1,3,75.0
M Ntini,0,2,0,0,1,0,0,3,0,1,6,200.0
