,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SP Narine,1,1,0,0,0,0,1,3,0,1,7,233.33
L Balaji,2,1,0,0,0,0,0,3,1,1,1,33.33
AB Dinda,4,4,0,0,1,0,1,10,0,3,14,140.0
WD Parnell,7,1,0,0,1,0,0,9,1,2,5,55.56
Imran Tahir,5,1,0,0,0,0,0,6,0,1,1,16.67
NM Coulter-Nile,1,0,0,0,0,0,0,1,0,1,0,0.0
AD Mathews,2,1,0,0,1,0,0,4,0,1,5,125.0
JP Faulkner,6,1,0,0,1,0,0,8,1,2,5,62.5
KK Cooper,3,1,1,0,0,0,0,5,0,1,3,60.0
J Botha,2,1,0,0,0,0,0,3,0,1,1,33.33
A Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
IK Pathan,1,0,0,0,0,0,0,1,0,1,0,0.0
M Morkel,3,4,0,0,0,0,0,7,0,1,4,57.14
UT Yadav,3,3,0,0,1,0,0,7,1,1,7,100.0
DJ Bravo,7,2,0,0,0,0,0,9,2,3,2,22.22
VR Aaron,0,1,0,0,0,0,0,1,0,1,1,100.0
MA Starc,0,1,0,0,0,0,0,1,0,1,1,100.0
SN Thakur,0,1,0,0,0,0,1,2,0,1,7,350.0
BW Hilfenhaus,4,2,0,0,1,0,0,7,1,2,6,85.71
R Rampaul,1,0,0,0,0,0,0,1,0,1,0,0.0
DE Bollinger,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
J Syed Mohammad,3,0,0,0,0,0,1,4,1,1,6,150.0
MM Patel,1,0,0,0,0,0,0,1,0,1,0,0.0
Azhar Mahmood,0,1,0,0,0,0,0,1,0,1,1,100.0
JA Morkel,1,2,0,0,0,0,1,4,0,1,8,200.0
RA Jadeja,1,1,0,0,0,0,0,2,1,1,1,50.0
