,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB Dinda,2,2,1,0,0,0,1,6,0,1,10,166.67
I Sharma,3,1,1,0,1,0,0,6,0,1,7,116.67
CH Gayle,1,0,0,0,0,0,0,1,0,1,0,0.0
AB Agarkar,1,3,1,0,1,0,0,6,0,1,9,150.0
LR Shukla,2,2,0,0,0,0,0,4,0,1,2,50.0
SC Ganguly,1,2,0,0,1,0,0,4,0,1,6,150.0
BJ Hodge,2,0,0,0,0,0,0,2,1,1,0,0.0
RJ Harris,1,2,0,0,1,0,0,4,0,1,6,150.0
RP Singh,1,3,0,0,2,0,0,6,0,2,11,183.33
Shoaib Ahmed,1,2,0,0,0,0,0,3,0,1,2,66.67
RG Sharma,3,0,0,0,0,0,0,3,1,1,0,0.0
SM Harwood,3,1,0,0,0,0,0,4,0,1,1,25.0
A Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
YK Pathan,4,0,0,0,1,0,0,5,0,1,4,80.0
SK Trivedi,2,0,0,0,1,0,0,3,1,1,4,133.33
A Symonds,5,1,0,0,0,0,0,6,1,1,1,16.67
JA Morkel,3,0,3,0,2,0,0,8,0,1,14,175.0
S Tyagi,0,1,0,0,0,0,0,1,0,1,1,100.0
MS Gony,4,3,1,0,1,0,3,12,0,3,27,225.0
M Muralitharan,5,5,0,0,0,0,0,10,1,3,5,50.0
SB Jakati,2,2,1,0,1,0,1,7,0,1,14,200.0
L Balaji,1,0,0,0,0,0,0,1,1,1,0,0.0
A Nehra,1,2,0,0,0,0,0,3,0,1,2,66.67
PJ Sangwan,2,0,0,0,3,0,1,6,0,1,18,300.0
MF Maharoof,7,3,1,0,2,0,0,13,1,2,13,100.0
T Thushara,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,3,0,0,0,0,0,0,3,0,1,0,0.0
DS Kulkarni,2,0,0,0,0,0,0,2,1,1,0,0.0
RE van der Merwe,1,2,0,0,0,0,0,3,0,1,2,66.67
KP Appanna,1,1,0,0,0,0,0,2,0,1,1,50.0
Joginder Sharma,1,3,0,0,0,0,1,5,0,1,9,180.0
P Amarnath,1,1,1,0,0,0,0,3,0,1,3,100.0
JDP Oram,0,3,1,0,0,0,0,4,0,1,5,125.0
GD McGrath,8,1,0,0,4,0,0,13,0,1,17,130.77
Mohammad Asif,4,0,1,1,4,0,0,10,0,1,21,210.0
VY Mahesh,1,2,0,0,1,0,0,4,0,1,6,150.0
Shoaib Malik,3,4,3,0,0,0,1,11,0,1,16,145.45
R Bhatia,3,2,0,0,0,0,0,5,0,1,2,40.0
