,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shahid Afridi,6,2,0,0,0,0,0,8,0,1,2,25.0
DNT Zoysa,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Ojha,3,4,0,0,1,0,0,8,0,1,8,100.0
SB Bangar,2,3,0,0,1,0,1,7,1,1,13,185.71
RP Singh,3,0,0,0,0,0,0,3,0,1,0,0.0
D Kalyankrishna,0,2,0,0,1,0,0,3,0,1,6,200.0
Yuvraj Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
VRV Singh,1,2,0,0,1,0,1,5,0,1,12,240.0
PP Chawla,6,2,0,0,0,0,0,8,0,1,2,25.0
IK Pathan,0,2,0,0,0,0,0,2,0,1,2,100.0
B Lee,2,2,0,0,0,0,0,4,0,1,2,50.0
S Sreesanth,1,0,0,0,1,0,0,2,1,1,4,200.0
MS Gony,1,4,0,0,0,0,0,5,0,1,4,80.0
Joginder Sharma,0,4,0,0,0,0,0,4,0,1,4,100.0
P Amarnath,1,1,0,0,0,0,1,3,1,1,7,233.33
M Muralitharan,4,2,0,0,0,0,0,6,0,1,2,33.33
Sohail Tanvir,1,0,0,0,0,0,0,1,1,1,0,0.0
B Geeves,2,1,0,0,0,0,0,3,0,1,1,33.33
A Mishra,1,3,0,0,0,0,0,4,0,1,3,75.0
GD McGrath,2,3,2,0,2,0,0,9,0,2,15,166.67
MF Maharoof,1,1,0,0,1,0,0,3,1,1,5,166.67
B Akhil,0,0,0,0,1,0,0,1,0,1,4,400.0
R Vinay Kumar,0,1,0,0,1,0,1,3,0,1,11,366.67
P Kumar,1,2,0,0,0,0,1,4,0,1,8,200.0
Z Khan,2,1,0,0,1,0,0,4,1,1,5,125.0
V Sehwag,1,0,0,0,0,0,0,1,0,1,0,0.0
Shoaib Malik,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammad Asif,4,2,0,0,1,0,3,10,0,1,24,240.0
VY Mahesh,1,0,0,0,0,0,0,1,1,1,0,0.0
