,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AR Patel,0,4,0,0,0,0,0,4,0,2,4,100.0
Anureet Singh,2,4,0,0,1,0,0,7,1,2,8,114.29
Mustafizur Rahman,1,1,1,0,1,0,1,5,0,1,13,260.0
B Kumar,0,0,0,0,4,0,1,5,0,1,22,440.0
NLTC Perera,0,0,1,0,0,0,0,1,0,1,2,200.0
A Nehra,3,3,0,0,0,0,0,6,1,2,3,50.0
DJ Bravo,2,4,1,0,2,0,0,9,1,2,14,155.56
SK Raina,0,1,0,0,0,0,0,1,0,1,1,100.0
P Negi,2,1,1,0,0,0,0,4,0,1,3,75.0
RA Jadeja,3,1,3,0,2,0,1,10,1,2,21,210.0
MM Sharma,1,2,0,0,1,0,0,4,0,1,6,150.0
Mohammed Shami,1,1,0,0,0,0,0,2,0,1,1,50.0
CH Morris,0,1,0,0,0,0,0,1,0,1,1,100.0
Sandeep Sharma,0,1,1,0,0,0,0,2,0,1,3,150.0
JJ Bumrah,4,2,0,0,1,0,1,8,1,1,12,150.0
HH Pandya,0,1,0,0,0,0,0,1,0,1,1,100.0
KH Pandya,1,2,1,0,0,0,0,4,0,1,4,100.0
MJ McClenaghan,2,1,0,0,1,0,1,5,0,1,11,220.0
IC Pandey,0,2,0,0,0,0,0,2,0,1,2,100.0
