,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shoaib Akhtar,2,0,1,0,2,0,0,5,0,1,10,200.0
I Sharma,2,1,0,0,2,0,0,5,0,1,9,180.0
AB Dinda,1,3,0,0,1,0,0,5,0,1,7,140.0
AB Agarkar,3,2,0,0,1,0,0,6,0,1,6,100.0
Sohail Tanvir,3,0,0,0,0,0,0,3,1,2,0,0.0
YK Pathan,1,1,0,0,0,0,1,3,0,1,7,233.33
RP Singh,5,2,0,0,2,0,0,9,0,2,10,111.11
DP Vijaykumar,9,1,2,0,3,0,0,15,1,2,17,113.33
SB Styris,2,1,0,0,0,0,0,3,1,1,1,33.33
P Kumar,7,0,1,1,1,0,1,11,0,1,15,136.36
A Kumble,5,3,1,0,1,0,0,10,1,1,9,90.0
JH Kallis,1,3,0,0,0,0,0,4,0,1,3,75.0
R Vinay Kumar,5,4,1,0,1,0,1,12,0,1,16,133.33
B Akhil,1,2,0,0,0,0,0,3,0,1,2,66.67
IK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
S Sreesanth,2,0,0,0,0,0,0,2,1,1,0,0.0
SM Pollock,8,3,1,0,0,0,0,12,0,1,5,41.67
A Nehra,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,4,1,0,0,2,0,0,7,0,1,9,128.57
DS Kulkarni,4,1,1,0,2,0,0,8,1,1,11,137.5
GD McGrath,7,2,0,1,0,0,0,10,0,2,5,50.0
Mohammad Asif,5,1,2,0,1,0,0,9,1,2,9,100.0
VY Mahesh,5,2,0,0,4,0,0,11,1,2,18,163.64
PJ Sangwan,0,5,1,0,2,0,0,8,0,1,15,187.5
Shoaib Malik,2,2,0,0,2,0,0,6,0,1,10,166.67
