,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shakib Al Hasan,4,4,0,0,0,0,0,8,1,1,4,50.0
YK Pathan,1,5,0,0,1,0,0,7,0,2,9,128.57
SP Narine,2,3,0,0,0,0,0,5,0,1,3,60.0
R Bhatia,2,11,3,0,3,0,1,20,1,3,35,175.0
VS Malik,2,5,2,0,0,0,0,9,0,1,9,100.0
IK Pathan,7,5,0,0,1,0,0,13,0,2,9,69.23
YA Abdulla,1,0,0,0,0,0,0,1,1,1,0,0.0
VY Mahesh,9,3,2,0,2,0,0,16,0,1,15,93.75
MF Maharoof,7,2,0,0,0,0,0,9,1,1,2,22.22
PJ Sangwan,2,0,0,0,3,0,1,6,0,1,18,300.0
TM Dilshan,1,2,0,0,0,0,0,3,0,1,2,66.67
M Ntini,7,2,0,0,1,0,0,10,0,1,6,60.0
MS Gony,6,2,1,0,0,0,0,9,1,1,4,44.44
V Sehwag,3,4,0,0,1,0,0,8,0,1,8,100.0
S Nadeem,3,2,0,0,0,0,0,5,0,1,2,40.0
M Morkel,7,3,0,0,3,0,0,13,0,2,15,115.38
UT Yadav,2,5,1,0,0,0,0,8,0,2,7,87.5
KP Appanna,1,1,0,0,0,0,0,2,1,1,1,50.0
SM Pollock,5,8,0,0,1,0,0,14,0,1,12,85.71
A Nehra,2,2,2,0,0,0,0,6,0,1,6,100.0
CRD Fernando,2,2,0,0,0,0,0,4,1,1,2,50.0
V Pratap Singh,1,1,1,0,0,0,0,3,1,1,3,100.0
MM Patel,4,0,0,0,0,0,0,4,2,2,0,0.0
AC Thomas,1,0,1,0,1,0,0,3,1,1,6,200.0
AN Ahmed,1,0,0,0,0,0,0,1,0,1,0,0.0
SL Malinga,2,1,0,0,0,0,0,3,0,1,1,33.33
I Sharma,8,0,0,1,0,0,0,9,0,1,3,33.33
AB Agarkar,5,3,1,0,3,0,0,12,1,2,17,141.67
M Kartik,8,4,0,0,2,0,0,14,0,1,12,85.71
CH Gayle,4,3,0,0,0,0,0,7,0,1,3,42.86
BJ Hodge,3,2,0,0,0,0,0,5,1,1,2,40.0
SC Ganguly,0,2,0,0,1,0,0,3,0,1,6,200.0
CK Langeveldt,8,0,0,0,2,0,0,10,1,1,8,80.0
JH Kallis,3,2,1,0,0,0,0,6,0,1,4,66.67
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,0,2,0,0,1,0,0,3,0,1,6,200.0
