,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KW Richardson,1,1,0,0,0,0,0,2,0,1,1,50.0
Anureet Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
RA Jadeja,2,0,0,0,0,0,1,3,1,1,6,200.0
R Ashwin,1,1,0,0,0,0,1,3,0,1,7,233.33
JD Unadkat,8,2,0,0,1,0,0,11,1,2,6,54.55
S Badree,4,2,1,0,5,0,4,16,0,2,48,300.0
S Aravind,5,3,1,0,6,0,1,16,0,2,35,218.75
A Choudhary,1,0,0,0,0,0,0,1,1,1,0,0.0
Sandeep Sharma,7,3,0,0,3,0,1,14,0,2,21,150.0
MJ Henry,1,0,0,0,0,0,0,1,0,1,0,0.0
MM Sharma,2,1,0,0,2,0,0,5,1,2,9,180.0
SL Malinga,3,5,0,0,1,0,1,10,0,4,15,150.0
MG Johnson,6,5,1,0,0,0,0,12,2,4,7,58.33
A Mishra,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,0,1,0,0,0,0,0,1,0,1,1,100.0
Anand Rajan,1,0,0,0,0,0,0,1,1,1,0,0.0
TS Mills,1,1,0,0,0,0,0,2,0,1,1,50.0
STR Binny,1,0,0,0,1,0,0,2,1,1,4,200.0
I Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
GJ Maxwell,0,1,0,0,2,0,0,3,0,1,9,300.0
VR Aaron,1,0,0,0,1,0,2,4,1,1,16,400.0
RP Singh,3,1,0,0,1,0,0,5,0,2,5,100.0
KK Cooper,1,2,0,0,0,0,0,3,1,2,2,66.67
P Kumar,5,1,0,0,3,0,0,9,0,2,13,144.44
SN Thakur,2,1,0,0,2,0,0,5,0,1,9,180.0
Washington Sundar,1,1,0,0,0,0,0,2,0,1,1,50.0
TG Southee,4,0,0,0,0,0,0,4,1,1,0,0.0
B Kumar,7,3,0,0,0,0,0,10,1,3,3,30.0
Mohammed Siraj,2,0,0,0,0,0,0,2,1,1,0,0.0
CH Morris,0,1,1,0,0,0,0,2,0,1,3,150.0
Z Khan,3,1,0,0,1,0,0,5,0,2,5,100.0
JP Faulkner,1,0,0,0,4,0,0,5,0,1,16,320.0
Basil Thampi,2,0,0,0,2,0,1,5,0,1,14,280.0
SK Raina,1,0,0,0,0,0,0,1,1,1,0,0.0
MJ McClenaghan,1,0,0,0,0,0,0,1,1,1,0,0.0
K Rabada,1,0,0,0,0,0,0,1,1,1,0,0.0
DS Kulkarni,4,0,0,0,0,0,0,4,0,1,0,0.0
DJ Bravo,1,2,0,0,0,0,0,3,0,1,2,66.67
P Awana,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,2,1,0,0,1,0,0,4,0,1,5,125.0
AR Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
R Dhawan,1,2,0,0,0,0,0,3,0,1,2,66.67
JJ Bumrah,0,1,0,0,0,0,0,1,0,1,1,100.0
KV Sharma,3,0,0,0,0,0,0,3,1,1,0,0.0
