,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shakib Al Hasan,3,8,1,0,1,0,0,13,1,4,14,107.69
L Balaji,17,8,1,0,2,0,0,28,1,6,18,64.29
SP Narine,7,1,0,0,1,0,0,9,2,2,5,55.56
Iqbal Abdulla,5,12,1,0,4,0,0,22,0,5,30,136.36
JH Kallis,9,11,3,0,4,0,1,28,2,6,39,139.29
A Chandila,4,4,0,0,0,0,0,8,1,2,4,50.0
SW Tait,11,6,1,0,3,0,0,21,0,2,20,95.24
SR Watson,15,9,0,0,5,0,0,29,0,5,29,100.0
GB Hogg,5,4,2,1,2,0,0,14,0,1,19,135.71
SK Trivedi,14,25,4,0,3,0,2,48,1,5,57,118.75
STR Binny,0,2,0,0,1,0,0,3,0,1,6,200.0
RJ Harris,9,6,2,0,4,0,0,21,1,3,26,123.81
RP Singh,18,16,2,0,7,0,0,43,3,6,48,111.63
I Sharma,37,12,5,1,13,0,1,69,1,7,83,120.29
AB Dinda,25,7,1,0,11,0,1,45,0,6,59,131.11
SC Ganguly,0,1,0,0,0,0,0,1,0,1,1,100.0
BAW Mendis,2,3,1,0,0,0,2,8,1,2,17,212.5
CH Gayle,5,8,1,0,2,0,0,16,0,3,18,112.5
BJ Hodge,1,4,0,0,1,0,0,6,0,1,8,133.33
LR Shukla,8,4,1,0,2,0,0,15,1,2,14,93.33
MS Gony,6,6,0,1,2,0,0,15,0,2,17,113.33
T Thushara,5,9,0,0,1,0,0,15,1,2,13,86.67
A Flintoff,2,6,1,0,1,0,0,10,0,1,12,120.0
JDP Oram,4,4,0,0,4,0,0,12,0,1,20,166.67
Joginder Sharma,6,10,0,0,0,0,0,16,1,3,10,62.5
BA Bhatt,8,13,0,0,3,0,1,25,0,4,31,124.0
P Kumar,37,14,4,0,4,0,0,59,2,9,38,64.41
Shoaib Akhtar,3,0,0,0,0,0,0,3,1,1,0,0.0
M Kartik,11,19,3,0,1,0,1,35,0,5,35,100.0
WD Parnell,0,4,0,0,0,0,0,4,0,2,4,100.0
B Kumar,7,4,0,0,0,0,0,11,0,2,4,36.36
MJ Clarke,1,3,0,0,0,0,0,4,0,1,3,75.0
A Nehra,7,3,2,0,2,0,0,14,1,4,15,107.14
Kamran Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
A Uniyal,3,2,0,0,1,0,0,6,0,1,6,100.0
AD Mascarenhas,1,0,0,0,0,0,0,1,1,1,0,0.0
B Lee,3,8,2,0,3,0,0,16,0,5,24,150.0
YK Pathan,12,13,1,0,7,0,1,34,0,5,49,144.12
R Bhatia,13,9,1,0,4,0,0,27,3,4,27,100.0
S Tyagi,3,2,0,0,2,0,0,7,0,1,10,142.86
R Ashwin,10,15,2,0,5,0,0,32,1,4,39,121.88
DE Bollinger,15,9,0,0,2,0,0,26,2,4,17,65.38
SB Jakati,16,22,3,0,8,0,0,49,1,6,60,122.45
SE Bond,0,2,1,0,0,0,0,3,0,1,4,133.33
AD Mathews,5,8,2,0,1,0,0,16,0,2,16,100.0
AL Menaria,2,1,0,0,1,0,0,4,1,1,5,125.0
A Singh,3,1,0,0,1,0,0,5,1,2,5,100.0
FH Edwards,0,2,0,0,0,0,0,2,0,1,2,100.0
Harmeet Singh,0,1,0,0,2,0,1,4,0,1,15,375.0
DR Smith,2,1,0,0,1,0,0,4,0,1,5,125.0
PP Ojha,13,11,1,0,2,0,1,28,1,5,27,96.43
RG Sharma,1,3,0,0,1,0,0,5,0,2,7,140.0
S Sreesanth,2,1,0,0,0,0,0,3,0,1,1,33.33
IK Pathan,30,18,1,0,7,0,0,56,1,8,48,85.71
VRV Singh,3,3,0,0,5,0,0,11,0,1,23,209.09
PP Chawla,22,19,6,0,6,0,1,54,2,7,61,112.96
JR Hopes,2,2,0,0,1,0,0,5,0,1,6,120.0
Yuvraj Singh,5,9,1,0,2,0,0,17,1,6,19,111.76
DW Steyn,21,10,2,0,9,0,0,42,1,8,50,119.05
R Vinay Kumar,31,13,2,0,13,0,2,61,2,7,81,132.79
AJ Finch,10,2,2,0,2,0,0,16,1,2,14,87.5
R Sharma,7,5,0,0,2,0,1,15,2,4,19,126.67
S Nadeem,7,8,0,0,1,0,1,17,0,2,18,105.88
M Morkel,10,6,1,0,0,0,0,17,1,2,8,47.06
DP Nannes,9,5,0,1,2,0,0,17,1,4,16,94.12
AM Salvi,6,1,0,0,2,0,0,9,0,1,9,100.0
A Mishra,13,23,2,0,7,0,0,45,2,6,55,122.22
PJ Sangwan,9,9,2,0,2,0,0,22,1,4,21,95.45
V Pratap Singh,6,1,1,1,0,0,0,9,1,1,6,66.67
DT Christian,9,10,1,0,2,0,0,22,0,4,20,90.91
R McLaren,1,1,0,0,5,0,0,7,0,1,21,300.0
RA Jadeja,6,13,2,0,5,0,0,26,1,5,37,142.31
MM Sharma,8,1,0,0,1,0,1,11,0,1,11,100.0
CH Morris,5,2,0,0,0,0,0,7,0,1,2,28.57
DNT Zoysa,0,3,0,0,0,0,0,3,0,1,3,100.0
Y Venugopal Rao,0,1,0,0,0,0,0,1,0,1,1,100.0
Shahid Afridi,2,1,0,0,0,0,0,3,1,1,1,33.33
L Ablish,0,1,0,0,1,0,0,2,0,1,5,250.0
RR Powar,1,2,0,0,1,0,0,4,0,2,6,150.0
SB Wagh,10,2,2,0,4,0,0,18,0,2,22,122.22
AC Thomas,9,1,0,0,1,0,0,11,0,2,5,45.45
JD Ryder,2,3,2,0,1,0,0,8,0,1,11,137.5
P Awana,3,2,1,0,1,0,0,7,0,2,8,114.29
Azhar Mahmood,8,4,1,0,5,0,0,18,1,3,26,144.44
Z Khan,10,3,0,0,0,0,0,13,1,4,3,23.08
JD Unadkat,3,1,0,0,1,0,0,5,0,1,5,100.0
M Muralitharan,9,10,4,0,3,0,1,27,0,4,36,133.33
KW Richardson,1,0,0,0,1,0,0,2,0,1,4,200.0
SK Raina,6,6,1,0,1,0,0,14,1,2,12,85.71
SJ Srivastava,9,0,0,0,2,0,0,11,0,1,8,72.73
VS Malik,3,1,0,0,0,0,0,4,1,2,1,25.0
AB Agarkar,7,4,2,0,2,0,3,18,1,3,34,188.89
JA Morkel,26,9,1,0,11,0,3,50,0,5,73,146.0
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,1,3,0,0,1,0,0,5,0,1,7,140.0
Sohail Tanvir,1,1,1,0,1,0,0,4,0,1,7,175.0
Pankaj Singh,3,1,3,0,1,0,0,8,0,1,11,137.5
SK Warne,13,16,6,0,4,0,0,39,1,4,44,112.82
HV Patel,3,2,1,0,1,0,0,7,1,1,8,114.29
J Syed Mohammad,3,3,1,0,1,0,0,8,1,2,9,112.5
AA Chavan,7,4,0,0,1,0,0,12,0,1,8,66.67
J Botha,3,4,0,0,0,0,0,7,0,2,4,57.14
Bipul Sharma,4,6,1,0,1,0,0,12,0,1,12,100.0
PC Valthaty,0,2,0,0,0,0,0,2,0,1,2,100.0
GD McGrath,2,1,0,0,2,0,0,5,0,1,9,180.0
B Geeves,2,2,0,0,1,0,0,5,0,1,6,120.0
MF Maharoof,7,6,0,0,5,0,0,18,0,2,26,144.44
VY Mahesh,1,1,0,0,0,0,0,2,1,1,1,50.0
R Rampaul,3,0,1,0,5,0,0,9,0,1,22,244.44
UT Yadav,7,5,1,0,1,0,0,14,1,2,11,78.57
RE van der Merwe,7,7,2,0,0,0,1,17,0,2,17,100.0
AD Russell,0,2,0,0,1,0,0,3,0,1,6,200.0
AB McDonald,2,4,0,0,0,0,0,6,0,1,4,66.67
PD Collingwood,1,1,0,0,0,0,0,2,0,1,1,50.0
AP Dole,2,3,1,0,0,0,0,6,0,1,5,83.33
AA Jhunjhunwala,0,1,0,0,0,0,0,1,0,1,1,100.0
JP Duminy,2,1,0,0,0,0,0,3,0,1,1,33.33
Anand Rajan,5,4,0,0,1,0,0,10,1,1,8,80.0
NLTC Perera,12,7,3,0,6,0,1,29,0,3,43,148.28
RV Gomez,4,3,1,0,1,0,0,9,0,1,9,100.0
DL Vettori,6,6,2,0,2,0,0,16,0,2,18,112.5
A Mithun,4,6,0,0,2,0,0,12,0,2,14,116.67
V Kohli,0,5,1,0,1,0,0,7,0,1,11,157.14
TM Dilshan,1,1,0,0,2,0,0,4,0,1,9,225.0
AUK Pathan,2,5,0,0,1,0,0,8,0,1,9,112.5
Jaskaran Singh,7,6,1,0,4,0,0,18,0,2,24,133.33
KAJ Roach,1,2,0,0,0,0,0,3,0,1,2,66.67
A Symonds,8,4,4,0,2,0,0,18,0,2,20,111.11
A Kumble,5,7,0,0,2,0,1,15,0,2,21,140.0
S Ladda,1,3,0,1,2,0,0,7,0,1,14,200.0
JE Taylor,1,0,0,0,0,0,0,1,0,1,0,0.0
D du Preez,3,0,0,0,0,0,0,3,1,1,0,0.0
S Aravind,6,2,1,0,5,0,0,14,0,1,24,171.43
K Goel,2,2,0,1,2,0,0,7,0,1,13,185.71
DJG Sammy,0,2,0,0,0,0,0,2,0,1,2,100.0
KV Sharma,2,3,0,0,2,0,1,8,1,1,17,212.5
B Akhil,5,3,0,0,1,0,0,9,0,1,7,77.78
