,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Patel,4,2,0,0,1,0,1,8,0,2,12,150.0
SL Malinga,10,11,2,0,3,0,0,26,0,5,27,103.85
AN Ahmed,0,3,0,0,0,0,0,3,0,1,3,100.0
SK Trivedi,12,7,1,0,2,0,1,23,1,2,23,100.0
GB Hogg,1,7,0,0,0,0,1,9,0,2,13,144.44
J Botha,0,1,0,0,0,0,0,1,0,1,1,100.0
TL Suman,4,3,3,0,0,0,0,10,0,2,9,90.0
RG Sharma,2,2,2,0,0,0,0,6,1,2,6,100.0
I Sharma,4,4,1,0,1,0,0,10,1,4,10,100.0
CH Gayle,3,5,0,0,3,0,0,11,0,2,17,154.55
AB Dinda,9,11,3,0,1,0,0,24,2,4,21,87.5
SE Bond,0,2,0,0,0,0,0,2,0,1,2,100.0
JD Unadkat,4,6,0,0,0,0,0,10,0,1,6,60.0
SC Ganguly,0,2,0,0,0,0,1,3,0,1,8,266.67
M Kartik,4,3,1,0,1,0,0,9,1,2,9,100.0
DJ Hussey,2,2,1,0,2,0,0,7,0,1,12,171.43
AD Mascarenhas,1,4,1,0,0,0,0,6,0,1,6,100.0
SK Warne,4,4,1,0,2,0,1,12,0,1,20,166.67
AA Jhunjhunwala,1,2,0,0,1,0,0,4,0,1,6,150.0
YK Pathan,3,6,1,0,0,0,1,11,0,2,14,127.27
A Uniyal,0,2,1,0,1,0,0,4,0,1,8,200.0
SW Tait,3,2,0,0,0,0,0,5,1,2,2,40.0
T Thushara,5,3,0,0,0,0,0,8,0,1,3,37.5
SB Jakati,8,8,1,0,1,0,0,18,2,4,14,77.78
SK Raina,15,7,3,0,2,0,2,29,0,4,33,113.79
S Tyagi,2,2,0,0,0,0,0,4,0,1,2,50.0
DW Steyn,1,3,0,0,0,0,1,5,0,2,9,180.0
MS Gony,3,4,0,0,0,0,0,7,0,2,4,57.14
A Mishra,11,14,3,0,2,0,3,33,1,5,46,139.39
A Ashish Reddy,2,3,2,0,0,0,0,7,0,1,7,100.0
V Pratap Singh,2,1,0,0,1,0,1,5,1,1,11,220.0
AD Mathews,11,11,5,0,1,0,2,30,0,4,37,123.33
P Kumar,8,4,2,0,1,0,0,15,0,4,12,80.0
DS Kulkarni,5,7,0,0,1,0,0,13,0,3,11,84.62
M Morkel,4,2,0,0,1,0,1,8,1,2,12,150.0
JR Hopes,3,2,0,0,0,0,0,5,0,1,2,40.0
IK Pathan,3,2,0,0,0,0,0,5,0,1,2,40.0
Y Nagar,0,2,0,0,0,0,0,2,0,1,2,100.0
UT Yadav,11,7,0,0,7,0,0,25,0,3,35,140.0
Azhar Mahmood,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,2,3,1,0,0,0,0,6,0,1,5,83.33
Gurkeerat Singh,4,1,0,0,0,0,1,6,1,1,7,116.67
R Dhawan,2,2,1,0,1,0,0,6,0,1,8,133.33
KJ Abbott,3,0,1,0,0,0,0,4,0,1,2,50.0
S Sreesanth,0,2,1,0,0,0,0,3,0,1,4,133.33
JP Faulkner,5,5,1,0,0,0,0,11,0,3,7,63.64
SR Watson,11,3,1,0,2,0,0,17,1,3,13,76.47
JH Kallis,8,7,1,0,4,0,1,21,0,3,31,147.62
R Bhatia,5,8,1,0,1,0,1,16,1,2,20,125.0
SP Narine,3,5,0,0,2,0,0,10,1,3,13,130.0
JP Duminy,0,2,0,0,0,0,0,2,0,1,2,100.0
Imran Tahir,2,2,1,0,0,0,0,5,1,1,4,80.0
CR Brathwaite,0,2,0,0,0,0,0,2,0,1,2,100.0
Iqbal Abdulla,2,1,0,0,0,0,0,3,0,1,1,33.33
L Balaji,4,4,0,0,0,0,0,8,0,3,4,50.0
RJ Harris,6,2,0,0,0,0,0,8,1,2,2,25.0
SJ Srivastava,3,4,0,0,0,0,1,8,1,2,10,125.0
AC Thomas,3,3,2,0,1,0,1,10,0,2,17,170.0
JE Taylor,3,0,2,0,1,0,1,7,1,1,14,200.0
DE Bollinger,2,7,0,0,0,0,0,9,0,3,7,77.78
R Ashwin,3,7,1,0,1,0,0,12,0,3,13,108.33
JA Morkel,3,2,1,0,0,0,0,6,0,3,4,66.67
A Kumble,5,6,1,0,1,0,1,14,1,2,18,128.57
KP Pietersen,5,6,0,0,0,0,0,11,0,1,6,54.55
V Kohli,2,1,1,0,0,0,1,5,0,1,9,180.0
MJ McClenaghan,6,4,0,0,0,0,0,10,0,2,4,40.0
R Vinay Kumar,4,7,1,0,3,0,0,15,0,3,21,140.0
A Chandila,4,4,0,0,0,0,1,9,0,1,10,111.11
PP Chawla,6,8,1,0,2,0,1,18,2,6,24,133.33
VRV Singh,2,2,0,0,1,0,1,6,0,1,12,200.0
Yuvraj Singh,0,4,0,0,0,0,0,4,0,2,4,100.0
TG Southee,6,6,2,1,0,0,2,17,0,2,25,147.06
KH Pandya,2,1,1,0,1,0,2,7,0,1,19,271.43
JJ Bumrah,4,1,2,0,2,0,0,9,1,1,13,144.44
HH Pandya,2,2,0,0,0,0,0,4,0,1,2,50.0
Harbhajan Singh,6,16,1,0,2,0,2,27,1,4,38,140.74
K Goel,1,1,0,0,0,0,0,2,0,1,1,50.0
RS Bopara,2,6,1,0,1,0,0,10,1,2,12,120.0
B Lee,0,2,0,0,0,0,0,2,0,1,2,100.0
RP Singh,7,2,2,0,3,0,0,14,1,3,18,128.57
TA Boult,3,2,0,0,1,0,0,6,0,1,6,100.0
C de Grandhomme,7,1,0,0,2,0,0,10,0,1,9,90.0
Kuldeep Yadav,0,4,0,0,0,0,0,4,0,1,4,100.0
AS Rajpoot,6,5,0,0,1,0,0,12,1,2,9,75.0
