,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RJ Harris,2,1,0,0,1,0,0,4,0,1,5,125.0
RP Singh,10,0,0,0,0,0,0,10,2,3,0,0.0
I Sharma,16,3,0,0,6,0,2,27,1,4,39,144.44
AB Dinda,3,1,0,1,2,0,0,7,1,2,12,171.43
SC Ganguly,3,0,1,0,0,0,2,6,0,1,14,233.33
BAW Mendis,0,3,1,0,0,0,1,5,0,1,11,220.0
CH Gayle,0,2,0,0,0,0,1,3,0,1,8,266.67
BJ Hodge,2,4,1,0,0,0,0,7,0,1,6,85.71
LR Shukla,4,1,0,0,1,0,0,6,1,1,5,83.33
MS Gony,14,5,0,1,2,0,3,25,1,3,34,136.0
T Thushara,6,2,0,0,3,0,0,11,1,1,14,127.27
A Flintoff,1,1,0,0,1,0,0,3,0,1,5,166.67
Shoaib Akhtar,1,1,1,0,3,0,2,8,0,1,27,337.5
AB Agarkar,2,2,0,0,0,0,0,4,0,1,2,50.0
AD Mascarenhas,2,1,0,0,3,0,0,6,0,1,13,216.67
SW Tait,2,1,0,0,0,0,0,3,0,1,1,33.33
Kamran Khan,3,0,0,1,0,0,1,5,0,1,9,180.0
A Uniyal,1,0,0,0,0,0,0,1,1,1,0,0.0
SB Bangar,2,2,0,1,0,0,0,5,0,1,5,100.0
DNT Zoysa,6,3,0,0,4,0,1,14,0,2,25,178.57
PP Ojha,1,2,0,0,1,0,0,4,0,1,6,150.0
Shahid Afridi,1,0,0,0,0,0,0,1,1,1,0,0.0
FH Edwards,5,1,0,0,0,0,0,6,0,1,1,16.67
S Sreesanth,8,1,1,0,0,0,0,10,1,1,3,30.0
IK Pathan,3,2,0,0,1,0,2,8,1,3,18,225.0
DP Nannes,7,2,0,0,0,0,0,9,1,2,2,22.22
DP Vijaykumar,5,0,0,0,1,0,1,7,0,1,10,142.86
Y Venugopal Rao,2,0,0,0,2,0,0,4,1,1,8,200.0
B Lee,13,0,0,0,1,0,0,14,2,2,4,28.57
JDP Oram,3,2,1,0,3,0,0,9,0,1,16,177.78
JA Morkel,13,3,1,0,4,0,5,26,0,2,51,196.15
S Tyagi,5,1,0,0,2,0,1,9,1,1,15,166.67
MM Patel,4,3,1,0,0,0,1,9,0,1,11,122.22
Sohail Tanvir,10,6,0,0,1,0,0,17,0,2,10,58.82
SR Watson,7,2,1,0,0,0,0,10,2,3,4,40.0
Pankaj Singh,0,2,0,1,2,0,0,5,0,1,13,260.0
YK Pathan,7,5,1,0,0,0,0,13,0,3,7,53.85
SK Trivedi,4,4,4,0,1,0,0,13,1,2,16,123.08
SK Warne,3,3,0,0,1,0,0,7,1,2,7,100.0
JH Kallis,22,6,2,0,7,1,1,39,0,3,49,125.64
R Vinay Kumar,8,5,1,0,3,0,2,19,0,3,31,163.16
A Mithun,2,0,0,0,1,0,0,3,0,1,4,133.33
A Kumble,2,9,1,1,5,0,1,19,0,3,40,210.53
RE van der Merwe,4,1,0,0,0,0,0,5,2,2,1,20.0
GD McGrath,7,3,0,0,2,0,0,12,0,2,11,91.67
B Geeves,3,2,0,0,4,0,1,10,0,1,24,240.0
MF Maharoof,11,4,0,0,1,0,1,17,1,2,14,82.35
VY Mahesh,4,3,0,0,3,0,3,13,1,2,33,253.85
A Mishra,4,2,1,0,0,0,1,8,1,1,10,125.0
P Kumar,9,6,0,0,1,0,1,17,0,4,16,94.12
DW Steyn,15,1,0,0,0,0,0,16,2,2,1,6.25
Z Khan,3,2,0,0,1,0,0,6,0,1,6,100.0
D du Preez,2,1,0,1,1,0,1,6,0,1,14,233.33
J Botha,7,1,2,0,0,0,0,10,0,1,5,50.0
L Balaji,0,1,0,0,1,0,0,2,0,1,5,250.0
Joginder Sharma,2,2,0,0,1,0,1,6,0,1,12,200.0
M Muralitharan,2,2,1,0,2,0,0,7,0,1,12,171.43
CK Kapugedera,0,0,0,0,2,0,3,5,0,1,26,520.0
B Akhil,2,4,0,0,0,0,0,6,0,1,4,66.67
Mohammad Asif,2,1,0,0,3,0,0,6,0,1,13,216.67
