,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Raina,4,3,0,0,0,0,0,7,0,1,3,42.86
MM Sharma,3,3,3,1,1,0,1,12,1,3,22,183.33
IC Pandey,2,2,0,0,0,0,0,4,0,1,2,50.0
S Badree,1,1,0,0,0,0,1,3,0,1,7,233.33
R Ashwin,3,2,1,0,0,0,1,7,0,2,10,142.86
RA Jadeja,7,8,0,1,1,0,2,19,2,4,27,142.11
NM Coulter-Nile,4,0,0,0,1,0,0,5,0,1,4,80.0
UT Yadav,2,0,0,0,2,0,2,6,2,3,20,333.33
CR Woakes,3,0,0,0,0,0,0,3,1,1,0,0.0
DJG Sammy,7,6,0,0,1,0,1,15,1,3,16,106.67
I Sharma,2,7,2,0,1,0,0,12,0,3,15,125.0
NLTC Perera,3,2,0,0,1,0,0,6,1,2,6,100.0
DW Steyn,3,3,1,0,2,0,0,9,0,2,13,144.44
KV Sharma,3,6,0,0,0,0,0,9,0,3,6,66.67
SE Bond,0,2,1,0,1,0,0,4,0,1,8,200.0
AB Dinda,1,0,0,0,0,0,0,1,1,1,0,0.0
R Dhawan,4,4,2,0,0,0,0,10,0,2,8,80.0
Karanveer Singh,3,5,0,0,1,0,0,9,1,2,9,100.0
JD Unadkat,2,4,1,0,2,0,0,9,0,2,14,155.56
R Vinay Kumar,3,10,0,0,4,0,0,17,2,5,26,152.94
M Kartik,2,3,2,0,1,0,2,10,0,2,23,230.0
YS Chahal,2,2,1,0,1,0,0,6,0,1,8,133.33
D Wiese,1,4,1,0,0,0,0,6,0,1,6,100.0
HV Patel,4,3,0,0,1,0,0,8,0,2,7,87.5
MA Starc,2,1,0,0,0,0,0,3,1,1,1,33.33
RS Bopara,0,3,0,0,0,0,0,3,0,1,3,100.0
A Ashish Reddy,1,2,1,0,0,0,0,4,0,1,4,100.0
B Kumar,4,8,1,1,0,0,1,15,1,6,19,126.67
TA Boult,1,1,0,0,1,0,0,3,0,1,5,166.67
P Kumar,7,6,0,0,0,0,0,13,1,4,6,46.15
S Gopal,4,1,0,0,0,0,0,5,1,1,1,20.0
Harbhajan Singh,12,9,2,1,5,0,2,31,0,5,48,154.84
A Mishra,10,10,4,0,2,0,0,26,1,5,26,100.0
CR Brathwaite,2,3,2,0,0,0,0,7,0,2,7,100.0
Z Khan,6,6,2,0,1,0,0,15,1,3,14,93.33
CH Morris,4,4,1,0,3,0,0,12,0,2,18,150.0
JO Holder,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Bravo,5,10,3,0,3,0,3,24,0,3,46,191.67
S Nadeem,7,4,2,0,0,0,0,13,0,3,8,61.54
Imran Tahir,2,1,0,0,0,0,0,3,2,2,1,33.33
KP Appanna,3,1,0,0,0,0,0,4,0,1,1,25.0
DL Vettori,2,0,1,0,1,0,0,4,0,1,6,150.0
R Bhatia,3,2,0,0,2,0,0,7,0,2,10,142.86
JH Kallis,2,1,0,0,1,0,0,4,0,1,5,125.0
LR Shukla,1,0,0,0,0,0,0,1,1,1,0,0.0
SP Narine,4,4,0,0,0,0,1,9,0,2,10,111.11
AD Russell,0,3,1,0,0,0,0,4,0,2,5,125.0
Bipul Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Rashid Khan,2,2,0,0,0,0,0,4,0,1,2,50.0
BCJ Cutting,1,1,0,0,0,0,1,3,0,1,7,233.33
R Sharma,3,2,1,0,1,0,1,8,0,2,14,175.0
WD Parnell,0,3,0,0,1,0,0,4,0,1,7,175.0
MG Johnson,16,1,2,0,0,0,0,19,2,4,5,26.32
V Pratap Singh,2,1,0,0,1,0,0,4,0,1,5,125.0
Yuvraj Singh,3,1,0,0,0,0,0,4,2,2,1,25.0
BA Stokes,0,1,0,0,1,0,0,2,0,1,5,250.0
DT Christian,0,1,0,0,1,0,1,3,0,1,11,366.67
SN Thakur,1,1,0,0,0,0,0,2,1,1,1,50.0
Washington Sundar,1,1,0,0,0,0,0,2,0,1,1,50.0
LH Ferguson,5,0,0,0,0,0,0,5,1,1,0,0.0
SL Malinga,3,9,0,0,1,0,0,13,0,3,13,100.0
PP Ojha,3,4,0,0,3,0,2,12,0,2,28,233.33
KA Pollard,2,0,0,0,0,0,0,2,1,2,0,0.0
DS Kulkarni,5,4,1,0,0,0,0,10,0,3,6,60.0
SB Jakati,3,0,0,0,2,0,1,6,0,1,14,233.33
Mustafizur Rahman,0,2,0,0,0,0,1,3,0,1,8,266.67
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
J Botha,0,2,0,0,1,0,2,5,0,1,18,360.0
A Nehra,1,3,1,1,1,0,1,8,0,2,18,225.0
BW Hilfenhaus,4,1,1,0,0,0,0,6,0,1,3,50.0
VY Mahesh,4,4,0,0,1,0,0,9,1,1,8,88.89
MJ McClenaghan,0,1,0,0,0,0,0,1,0,1,1,100.0
JJ Bumrah,2,1,1,1,0,0,0,5,1,2,6,120.0
S Aravind,1,0,0,0,0,0,0,1,0,1,0,0.0
VR Aaron,5,2,0,0,0,0,0,7,0,1,2,28.57
AR Patel,4,3,0,0,0,0,0,7,0,2,3,42.86
MP Stoinis,0,2,0,0,0,0,0,2,0,1,2,100.0
Sandeep Sharma,2,2,0,0,1,0,0,5,0,2,6,120.0
AD Mathews,0,2,0,0,0,0,0,2,0,1,2,100.0
MC Henriques,2,2,1,0,0,0,0,5,0,1,4,80.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
