,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IC Pandey,5,1,1,0,0,0,0,7,0,1,3,42.86
BW Hilfenhaus,3,1,0,0,0,0,2,6,0,1,13,216.67
R Ashwin,2,0,0,0,0,0,0,2,0,1,0,0.0
RA Jadeja,7,7,3,0,1,0,3,21,2,4,35,166.67
PJ Sangwan,4,2,0,0,1,0,1,8,1,2,12,150.0
Basil Thampi,1,2,0,0,0,0,1,4,0,1,8,200.0
JP Faulkner,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Raina,0,2,0,0,0,0,1,3,0,1,8,266.67
Ankit Soni,2,3,1,0,0,0,2,8,0,1,17,212.5
DR Smith,1,1,0,0,0,0,0,2,0,1,1,50.0
NLTC Perera,3,6,0,0,2,0,0,11,0,3,14,127.27
IK Pathan,3,2,2,0,0,0,0,7,0,1,6,85.71
A Zampa,7,3,4,0,0,0,2,16,2,2,23,143.75
AD Russell,3,6,0,0,4,0,0,13,1,4,22,169.23
UT Yadav,8,11,2,0,5,0,2,28,2,4,47,167.86
C Munro,0,1,0,0,0,0,0,1,0,1,1,100.0
GB Hogg,3,2,0,0,0,0,0,5,1,1,2,40.0
PP Chawla,5,8,2,0,1,0,0,16,0,3,16,100.0
R Dhawan,3,4,0,0,2,0,0,9,0,1,12,133.33
AR Patel,6,17,1,0,0,0,0,24,1,5,19,79.17
BE Hendricks,1,2,0,0,0,0,1,4,0,1,8,200.0
Karanveer Singh,6,4,1,0,0,0,0,11,1,1,6,54.55
Iqbal Abdulla,4,9,0,0,0,0,1,14,0,3,15,107.14
YS Chahal,9,6,1,0,1,0,1,18,2,4,18,100.0
B Kumar,26,11,9,0,2,0,2,50,2,9,49,98.0
TA Boult,2,1,0,0,0,0,0,3,0,1,1,33.33
P Kumar,9,8,5,0,3,0,0,25,0,3,30,120.0
KV Sharma,2,5,0,0,0,0,0,7,1,4,5,71.43
RS Bopara,4,2,0,0,0,0,1,7,1,2,8,114.29
PP Ojha,6,4,1,0,0,0,1,12,0,2,12,100.0
K Santokie,2,0,0,0,0,0,0,2,1,1,0,0.0
Sandeep Sharma,19,4,2,0,3,0,0,28,2,5,20,71.43
T Natarajan,7,0,0,0,0,0,0,7,0,1,0,0.0
MA Starc,3,0,0,0,0,0,0,3,0,1,0,0.0
R Rampaul,2,2,0,0,0,0,0,4,1,2,2,50.0
JO Holder,8,2,1,0,2,0,0,13,0,2,12,92.31
MM Sharma,15,4,2,0,2,0,1,24,1,4,22,91.67
JP Duminy,1,5,0,0,0,0,0,6,0,1,5,83.33
MK Tiwary,3,1,0,0,0,0,1,5,0,1,7,140.0
Imran Tahir,8,9,1,0,1,0,1,20,1,2,21,105.0
S Kaul,2,4,1,0,0,0,3,10,0,3,24,240.0
R Shukla,1,0,0,0,1,0,0,2,0,1,4,200.0
S Nadeem,5,4,1,0,1,0,1,12,1,2,16,133.33
DW Steyn,10,5,0,0,1,0,1,17,1,3,15,88.24
Harbhajan Singh,13,18,5,0,4,0,2,42,0,4,56,133.33
JJ Bumrah,9,5,2,0,4,0,0,20,0,3,25,125.0
KH Pandya,4,12,1,0,1,0,0,18,0,2,18,100.0
Shakib Al Hasan,7,6,1,1,0,0,0,15,0,2,11,73.33
RN ten Doeschate,1,4,1,0,0,0,0,6,0,1,6,100.0
SP Narine,7,12,2,0,1,0,0,22,2,5,20,90.91
R Vinay Kumar,15,7,1,1,8,0,0,32,1,4,44,137.5
WD Parnell,7,2,0,0,2,0,1,12,1,2,16,133.33
P Awana,4,6,1,0,3,0,1,15,1,3,26,173.33
R Sathish,0,2,1,0,1,0,0,4,0,1,8,200.0
Bipul Sharma,5,4,0,0,1,0,0,10,0,1,8,80.0
MS Gony,1,1,0,0,1,0,1,4,0,1,11,275.0
AB Dinda,3,6,1,0,3,0,2,15,0,2,32,213.33
SM Boland,3,2,1,0,1,0,0,7,1,1,8,114.29
A Mishra,12,5,1,0,0,0,0,18,1,2,7,38.89
DJG Sammy,0,3,0,0,0,0,0,3,0,1,3,100.0
Azhar Mahmood,0,4,0,0,1,0,0,5,0,1,8,160.0
RJ Harris,3,1,0,0,0,0,0,4,0,1,1,25.0
Yuvraj Singh,3,5,0,0,2,0,2,12,1,3,25,208.33
Parvez Rasool,2,2,1,0,0,0,0,5,0,1,4,80.0
S Aravind,1,3,1,0,0,0,0,5,0,2,5,100.0
SR Watson,5,4,1,0,0,0,0,10,1,2,6,60.0
Avesh Khan,2,0,0,0,0,0,0,2,1,1,0,0.0
STR Binny,1,2,0,0,0,0,0,3,0,1,2,66.67
DS Kulkarni,4,2,0,0,1,0,0,7,1,2,6,85.71
SMSM Senanayake,2,2,0,0,0,0,1,5,0,1,8,160.0
JH Kallis,0,4,1,0,1,0,0,6,0,1,10,166.67
R Bhatia,5,11,0,0,0,0,0,16,1,2,11,68.75
MG Johnson,6,8,0,0,3,0,0,17,1,4,20,117.65
MJ McClenaghan,7,2,0,0,0,0,2,11,4,4,14,127.27
TG Southee,3,4,0,0,0,0,0,7,0,1,4,57.14
HH Pandya,0,2,0,0,1,0,0,3,0,1,6,200.0
KA Pollard,0,5,2,0,1,0,0,8,0,2,13,162.5
Mohammed Siraj,3,5,1,0,0,0,2,11,2,2,19,172.73
Mustafizur Rahman,1,5,0,0,0,0,0,6,0,2,5,83.33
J Suchith,0,5,1,1,0,0,1,8,0,1,16,200.0
SL Malinga,2,4,0,0,1,0,1,8,1,2,14,175.0
NM Coulter-Nile,5,5,2,0,5,0,0,17,0,3,29,170.59
CR Woakes,2,5,0,0,3,0,0,10,0,2,17,170.0
Kuldeep Yadav,4,7,2,0,0,0,1,14,0,2,17,121.43
Rashid Khan,5,5,0,0,1,0,0,11,0,1,9,81.82
MC Henriques,8,8,2,0,1,0,1,20,0,4,22,110.0
S Kaushik,1,3,0,0,0,0,0,4,0,1,3,75.0
VR Aaron,0,1,0,0,0,0,0,1,0,1,1,100.0
KC Cariappa,3,5,0,0,1,0,1,10,1,2,15,150.0
M Kartik,2,11,1,0,1,0,4,19,0,2,41,215.79
JD Unadkat,7,4,1,1,3,0,0,16,0,4,21,131.25
RP Singh,2,3,0,0,1,0,0,6,0,1,7,116.67
MP Stoinis,1,3,1,0,2,0,0,7,1,1,13,185.71
C de Grandhomme,0,1,0,0,0,0,0,1,0,1,1,100.0
B Stanlake,2,1,0,1,1,0,0,5,1,1,8,160.0
TS Mills,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammed Shami,0,2,0,0,0,0,0,2,0,1,2,100.0
R Sharma,3,3,2,0,0,0,0,8,0,1,7,87.5
HV Patel,3,2,0,0,0,0,0,5,1,1,2,40.0
AD Mathews,3,1,0,0,0,0,0,4,1,1,1,25.0
CJ Anderson,5,1,0,0,3,0,0,9,0,1,13,144.44
S Gopal,2,4,0,0,0,0,1,7,1,1,10,142.86
L Balaji,4,2,0,0,1,0,1,8,0,1,12,150.0
P Negi,2,1,0,0,1,0,0,4,0,1,5,125.0
DJ Bravo,1,5,0,0,0,0,2,8,1,1,17,212.5
A Nehra,1,3,0,0,0,0,0,4,0,2,3,75.0
Anureet Singh,1,1,0,1,0,0,0,3,0,1,4,133.33
DL Chahar,3,4,1,0,3,0,0,11,0,1,18,163.64
BA Stokes,3,5,1,0,2,0,0,11,0,1,15,136.36
P Sahu,2,2,1,0,0,0,1,6,0,1,10,166.67
GJ Maxwell,2,1,0,0,2,0,0,5,0,1,9,180.0
P Suyal,2,3,0,0,2,0,0,7,0,1,11,157.14
