,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Sandeep Sharma,6,1,0,0,1,0,0,8,1,2,5,62.5
R Bhatia,3,3,1,0,0,0,0,7,1,1,5,71.43
M Ashwin,3,1,0,0,1,0,0,5,0,1,5,100.0
R Ashwin,1,2,0,0,0,0,2,5,0,1,14,280.0
YS Chahal,2,5,1,0,0,0,1,9,0,2,13,144.44
Iqbal Abdulla,3,4,1,0,0,0,0,8,1,2,6,75.0
CJ Jordan,1,0,0,0,0,0,0,1,1,1,0,0.0
NM Coulter-Nile,1,1,0,0,0,0,0,2,1,1,1,50.0
CR Woakes,0,3,0,0,0,0,0,3,0,1,3,100.0
UT Yadav,3,3,0,0,2,0,0,8,1,2,11,137.5
SP Narine,2,6,0,0,0,0,0,8,0,2,6,75.0
Kuldeep Yadav,0,1,1,0,1,0,0,3,0,1,7,233.33
B Kumar,3,1,0,0,0,0,0,4,0,1,1,25.0
Mohammed Siraj,2,0,0,0,3,0,0,5,1,1,12,240.0
MM Sharma,3,5,0,0,3,0,0,11,0,2,17,154.55
AR Patel,2,6,0,0,1,0,0,9,1,1,10,111.11
VR Aaron,4,2,0,0,4,0,0,10,0,1,18,180.0
KC Cariappa,3,4,3,0,0,0,0,10,0,2,10,100.0
MP Stoinis,3,1,0,0,0,0,0,4,1,1,1,25.0
AD Russell,1,0,0,0,0,0,0,1,0,1,0,0.0
GB Hogg,0,8,4,0,0,0,1,13,0,1,22,169.23
PP Chawla,1,3,3,0,2,0,0,9,0,1,17,188.89
JO Holder,1,2,0,0,0,0,1,4,0,1,8,200.0
B Stanlake,2,2,0,1,1,0,0,6,0,1,9,150.0
TS Mills,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Dinda,3,1,0,0,1,0,0,5,0,1,5,100.0
DL Chahar,2,3,0,0,3,0,0,8,0,1,15,187.5
BA Stokes,0,1,0,0,0,0,0,1,0,1,1,100.0
Imran Tahir,2,2,0,0,0,0,0,4,1,1,2,50.0
A Zampa,0,1,0,0,0,0,0,1,0,1,1,100.0
