,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,1,2,0,0,0,0,0,3,0,1,2,66.67
BJ Hodge,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,1,1,0,0,0,0,0,2,1,2,1,50.0
S Sreesanth,1,1,0,0,0,0,0,2,0,1,1,50.0
P Parameswaran,0,1,0,0,1,0,0,2,0,1,5,250.0
R Vinay Kumar,1,1,0,0,0,0,0,2,0,1,1,50.0
Shakib Al Hasan,1,0,0,0,0,0,0,1,1,1,0,0.0
PD Collingwood,0,1,0,0,0,0,0,1,0,1,1,100.0
A Mishra,2,1,0,0,0,0,1,4,0,1,7,175.0
UT Yadav,2,2,0,0,0,0,0,4,0,1,2,50.0
V Sehwag,2,1,0,0,0,0,0,3,1,1,1,33.33
T Thushara,0,1,0,0,0,0,0,1,0,1,1,100.0
