,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MC Henriques,3,1,0,0,1,0,0,5,0,1,5,100.0
Mustafizur Rahman,0,3,2,0,1,0,2,8,0,2,23,287.5
BB Sran,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,1,4,1,0,2,0,0,8,0,2,14,175.0
A Nehra,1,0,0,0,0,0,0,1,1,1,0,0.0
AR Patel,2,2,2,0,1,0,0,7,0,1,10,142.86
Anureet Singh,1,1,1,0,0,0,0,3,0,1,3,100.0
KC Cariappa,2,3,2,0,0,0,0,7,0,1,7,100.0
MP Stoinis,0,2,1,0,0,0,0,3,0,1,4,133.33
Sandeep Sharma,0,3,0,0,0,0,0,3,0,1,3,100.0
MM Sharma,4,2,2,0,0,0,0,8,0,1,6,75.0
Bipul Sharma,2,1,0,0,0,0,0,3,1,1,1,33.33
LH Ferguson,1,1,0,0,0,0,0,2,0,1,1,50.0
Washington Sundar,1,1,0,0,0,0,0,2,1,1,1,50.0
RA Jadeja,1,0,0,0,0,0,0,1,0,1,0,0.0
DS Kulkarni,2,0,0,0,0,0,0,2,1,1,0,0.0
BCJ Cutting,1,1,0,0,0,0,0,2,0,1,1,50.0
KV Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mishra,4,0,1,0,0,0,0,5,1,1,2,40.0
JJ Bumrah,1,2,0,0,0,0,0,3,0,1,2,66.67
TG Southee,2,1,0,0,1,0,0,4,0,1,5,125.0
KA Pollard,1,0,0,0,1,0,2,4,0,1,16,400.0
MJ McClenaghan,0,2,0,0,0,0,0,2,0,1,2,100.0
M Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,3,1,0,0,2,0,1,7,0,1,15,214.29
AD Russell,1,0,0,0,0,0,0,1,1,1,0,0.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammed Shami,1,1,1,0,1,0,0,4,0,1,7,175.0
PJ Cummins,4,0,0,0,1,0,0,5,1,1,4,80.0
