,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GD McGrath,5,2,0,0,1,0,0,8,0,1,6,75.0
PJ Sangwan,6,3,0,0,2,0,0,11,0,1,11,100.0
VY Mahesh,5,4,0,0,2,0,0,11,1,1,12,109.09
MF Maharoof,0,4,1,0,0,0,0,5,0,1,6,120.0
A Mishra,3,3,0,0,1,0,0,7,0,1,7,100.0
V Sehwag,2,2,0,0,1,0,0,5,0,1,6,120.0
M Ntini,5,3,0,0,2,0,0,10,0,1,11,110.0
MS Gony,7,4,0,0,2,0,0,13,0,1,12,92.31
M Muralitharan,3,4,2,0,3,0,1,13,0,1,26,200.0
L Balaji,4,5,0,0,2,0,0,11,1,1,13,118.18
JA Morkel,3,3,2,0,1,0,0,9,0,1,11,122.22
Sohail Tanvir,6,1,0,0,0,0,0,7,1,2,1,14.29
SR Watson,9,3,1,0,2,0,0,15,0,2,13,86.67
MM Patel,3,1,0,0,4,0,0,8,1,1,17,212.5
SM Pollock,5,1,1,0,1,0,0,8,1,1,7,87.5
A Nehra,6,0,0,0,0,0,1,7,0,1,6,85.71
WPUJC Vaas,3,0,0,0,1,0,0,4,1,1,4,100.0
IK Pathan,4,2,0,0,2,0,0,8,0,1,10,125.0
S Sreesanth,7,2,0,0,3,0,0,12,1,1,14,116.67
