,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Warne,2,0,0,0,0,0,0,2,1,1,0,0.0
DJ Bravo,1,0,0,0,0,0,0,1,1,1,0,0.0
VRV Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,1,1,0,0,1,0,0,3,0,1,5,166.67
Gagandeep Singh,1,0,0,0,0,0,1,2,1,1,6,300.0
MF Maharoof,5,4,0,0,0,0,1,10,0,2,10,100.0
R Bhatia,1,0,0,0,0,0,0,1,1,1,0,0.0
M Muralitharan,1,0,0,0,0,0,0,1,0,1,0,0.0
Joginder Sharma,1,0,0,0,2,0,2,5,0,1,20,400.0
L Balaji,1,1,0,0,0,0,0,2,1,1,1,50.0
GD McGrath,2,0,0,0,2,1,0,5,0,1,13,260.0
Mohammad Asif,0,2,0,0,1,0,1,4,0,1,12,300.0
A Mishra,1,0,0,0,0,0,0,1,1,1,0,0.0
JH Kallis,0,1,0,0,0,0,0,1,0,1,1,100.0
P Kumar,1,0,0,0,0,0,0,1,1,1,0,0.0
YK Pathan,2,0,0,0,1,0,1,4,1,1,10,250.0
