,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
R Bhatia,2,0,2,0,0,0,0,4,1,2,4,100.0
Iqbal Abdulla,1,1,0,0,0,0,0,2,0,1,1,50.0
PV Tambe,2,4,0,0,1,0,0,7,0,3,8,114.29
SR Watson,4,8,0,0,0,0,1,13,0,4,14,107.69
KW Richardson,2,2,2,0,3,0,0,9,0,1,18,200.0
JP Faulkner,4,11,2,0,0,0,0,17,0,3,15,88.24
Karanveer Singh,3,3,0,0,1,0,0,7,1,1,7,100.0
MG Johnson,4,1,3,0,1,0,0,9,0,2,11,122.22
R Dhawan,0,3,0,0,0,0,0,3,0,1,3,100.0
P Awana,2,1,0,0,1,0,0,4,0,1,5,125.0
TG Southee,1,2,0,0,1,0,1,5,0,1,12,240.0
Harbhajan Singh,2,7,1,0,2,0,0,12,0,4,17,141.67
HH Pandya,2,2,2,0,2,0,0,8,1,2,14,175.0
CH Morris,3,0,0,0,0,0,0,3,1,1,0,0.0
DS Kulkarni,5,5,2,0,5,0,0,17,0,3,29,170.59
JA Morkel,1,0,0,0,0,0,0,1,0,1,0,0.0
R Ashwin,5,5,0,0,1,0,0,11,0,3,9,81.82
NLTC Perera,1,1,0,0,0,0,0,2,0,1,1,50.0
JP Duminy,1,5,1,0,0,0,0,7,0,1,7,100.0
S Nadeem,2,0,0,0,0,0,1,3,0,1,6,200.0
JDS Neesham,0,2,0,0,0,0,0,2,0,1,2,100.0
JD Unadkat,0,2,0,0,0,0,0,2,0,1,2,100.0
NM Coulter-Nile,1,3,0,0,1,0,0,5,0,1,7,140.0
Mohammed Shami,0,2,0,0,1,0,0,3,0,1,6,200.0
MM Sharma,3,3,1,0,2,0,0,9,0,2,13,144.44
P Sahu,2,1,0,0,0,0,0,3,0,1,1,33.33
AR Patel,4,2,0,0,2,0,0,8,1,2,10,125.0
Mustafizur Rahman,3,2,1,0,0,0,0,6,0,1,4,66.67
BB Sran,0,3,0,0,0,0,0,3,0,1,3,100.0
B Kumar,5,3,0,0,2,0,0,10,2,2,11,110.0
M Muralitharan,4,5,1,0,0,0,0,10,0,3,7,70.0
R Vinay Kumar,2,1,1,0,0,0,0,4,2,3,3,75.0
SK Trivedi,1,4,1,0,1,0,0,7,0,1,10,142.86
A Singh,2,0,0,0,0,0,1,3,1,1,6,200.0
RP Singh,2,0,0,0,0,0,0,2,1,1,0,0.0
MJ Clarke,4,3,1,0,0,0,2,10,0,1,17,170.0
A Nehra,2,4,1,0,0,0,0,7,0,1,6,85.71
SC Ganguly,0,1,0,0,1,0,0,2,0,1,5,250.0
WD Parnell,0,1,1,0,0,0,0,2,0,1,3,150.0
KV Sharma,4,0,0,0,0,0,0,4,1,1,0,0.0
Parvez Rasool,0,1,0,0,0,0,0,1,0,1,1,100.0
AN Ahmed,6,3,0,0,1,0,0,10,1,2,7,70.0
KA Pollard,2,2,0,0,0,0,0,4,0,1,2,50.0
SL Malinga,8,6,2,0,1,0,0,17,3,4,14,82.35
DR Smith,12,3,0,0,1,0,0,16,2,3,7,43.75
RA Jadeja,5,7,1,0,0,0,1,14,1,3,15,107.14
SK Raina,0,2,0,0,1,0,0,3,0,1,6,200.0
BW Hilfenhaus,1,2,2,0,3,0,1,9,0,2,24,266.67
MJ McClenaghan,2,2,0,0,1,0,0,5,0,1,6,120.0
P Negi,1,0,0,0,0,0,0,1,0,1,0,0.0
IK Pathan,1,1,0,0,0,0,0,2,1,1,1,50.0
Basil Thampi,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Patel,0,2,0,0,1,0,0,3,0,1,6,200.0
SB Jakati,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Bravo,4,7,1,0,0,0,4,16,0,2,33,206.25
YS Chahal,1,5,1,0,2,0,3,12,0,2,33,275.0
Yuvraj Singh,1,1,2,0,0,0,0,4,0,1,5,125.0
AB Dinda,3,5,0,0,2,0,0,10,0,1,13,130.0
MA Starc,0,2,0,0,0,0,0,2,0,1,2,100.0
S Kaushik,0,2,0,0,0,0,0,2,0,1,2,100.0
P Kumar,0,2,0,0,2,0,0,4,0,1,10,250.0
BA Bhatt,2,1,0,0,0,0,0,3,0,1,1,33.33
PP Chawla,2,1,0,0,0,0,0,3,1,1,1,33.33
AD Mascarenhas,0,2,0,0,0,0,0,2,0,1,2,100.0
LMP Simmons,0,2,0,0,0,0,0,2,0,1,2,100.0
VR Aaron,2,0,0,0,0,0,0,2,0,1,0,0.0
S Aravind,0,1,0,0,1,0,0,2,0,1,5,250.0
CJ Jordan,1,2,0,0,0,0,0,3,0,1,2,66.67
