,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JR Hopes,0,1,0,0,0,0,0,1,0,1,1,100.0
B Lee,2,0,0,0,1,0,0,3,0,1,4,133.33
IK Pathan,1,2,0,0,0,0,0,3,0,1,2,66.67
S Sreesanth,0,2,0,0,1,0,0,3,0,1,6,200.0
VRV Singh,4,1,0,0,1,0,0,6,1,1,5,83.33
PP Chawla,3,0,1,0,0,0,0,4,0,1,2,50.0
DS Kulkarni,2,3,1,0,1,0,0,7,0,1,9,128.57
DJ Bravo,0,2,2,0,0,0,0,4,0,1,6,150.0
ST Jayasuriya,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Thornely,1,3,0,0,0,0,0,4,0,1,3,75.0
A Nehra,0,2,0,0,0,0,0,2,0,1,2,100.0
RR Raje,0,2,0,0,0,0,0,2,0,1,2,100.0
SM Pollock,1,0,0,0,0,0,0,1,1,1,0,0.0
JA Morkel,0,2,0,0,0,0,0,2,0,1,2,100.0
L Balaji,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
DW Steyn,1,0,0,0,0,0,0,1,1,1,0,0.0
