,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SB Wagh,1,0,0,0,2,0,0,3,0,1,8,266.67
WD Parnell,1,0,0,0,0,0,0,1,0,1,0,0.0
M Kartik,1,0,0,0,1,0,0,2,0,1,4,200.0
S Randiv,1,2,0,0,0,0,0,3,1,1,2,66.67
SB Jakati,0,3,0,0,1,0,0,4,0,1,7,175.0
SK Raina,1,1,0,0,1,0,1,4,0,1,11,275.0
S Aravind,0,1,1,0,0,0,0,2,0,1,3,150.0
A Mithun,1,1,0,0,0,0,0,2,0,1,1,50.0
DL Vettori,1,0,0,0,0,0,0,1,1,1,0,0.0
SR Watson,1,1,0,0,1,0,0,3,0,1,5,166.67
SW Tait,2,0,0,0,0,0,0,2,0,1,0,0.0
VR Aaron,1,2,0,0,0,0,0,3,0,1,2,66.67
AB Agarkar,1,0,0,0,0,0,0,1,1,1,0,0.0
