,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IC Pandey,2,0,0,0,1,0,0,3,0,1,4,133.33
RA Jadeja,1,0,0,0,0,0,0,1,1,1,0,0.0
DJ Bravo,1,2,2,0,1,0,1,7,0,1,16,228.57
JP Faulkner,2,1,1,0,0,0,1,5,0,1,9,180.0
BA Stokes,1,1,0,0,0,0,1,3,0,1,7,233.33
Mustafizur Rahman,1,2,0,0,0,0,0,3,1,1,2,66.67
MC Henriques,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Morris,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,0,2,1,0,0,0,0,3,0,1,4,133.33
R Vinay Kumar,0,2,0,0,0,0,0,2,0,1,2,100.0
MP Stoinis,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,2,0,0,0,0,0,0,2,1,1,0,0.0
Imran Tahir,1,0,0,0,0,0,0,1,0,1,0,0.0
AD Mathews,0,1,1,0,1,0,0,3,0,1,7,233.33
