,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
VRV Singh,0,2,1,0,1,0,0,4,0,1,8,200.0
JR Hopes,2,0,0,0,0,0,0,2,1,1,0,0.0
Z Khan,1,3,0,0,1,0,0,5,0,1,7,140.0
SL Malinga,27,11,4,0,6,0,3,51,2,7,61,119.61
DW Steyn,12,3,2,0,1,0,0,18,1,3,11,61.11
MS Gony,3,1,1,0,0,0,1,6,0,2,9,150.0
AD Mascarenhas,4,2,0,0,1,0,0,7,1,3,6,85.71
AB Dinda,11,6,0,0,4,0,0,21,2,4,22,104.76
Shoaib Akhtar,2,0,0,0,1,0,0,3,0,1,4,133.33
I Sharma,7,4,2,0,1,0,1,15,2,4,18,120.0
SC Ganguly,2,2,0,0,1,0,0,5,0,1,6,120.0
Iqbal Abdulla,3,0,0,0,1,0,0,4,0,1,4,100.0
WPUJC Vaas,2,3,0,0,2,0,0,7,0,2,11,157.14
RP Singh,30,12,0,0,5,0,1,48,1,8,38,79.17
A Symonds,9,2,1,0,3,0,0,15,1,2,16,106.67
Shoaib Ahmed,4,2,2,0,4,0,1,13,0,2,28,215.38
YK Pathan,8,5,0,0,2,0,0,15,1,3,13,86.67
B Kumar,19,3,2,0,1,0,0,25,0,2,11,44.0
AG Murtaza,3,6,0,0,1,0,0,10,0,2,10,100.0
AJ Finch,0,1,0,0,0,0,0,1,0,1,1,100.0
LJ Wright,2,4,0,0,0,0,0,6,1,1,4,66.67
IC Pandey,0,2,0,0,2,0,0,4,0,1,10,250.0
MR Marsh,2,3,0,0,1,0,0,6,0,2,7,116.67
MM Patel,25,10,2,0,3,0,0,40,1,7,26,65.0
SK Trivedi,12,10,1,0,6,0,3,32,0,5,54,168.75
SK Warne,8,9,2,0,2,0,0,21,2,4,21,100.0
SR Watson,9,2,0,0,3,0,0,14,1,4,14,100.0
JE Taylor,5,2,1,0,2,0,0,10,0,1,12,120.0
AC Thomas,6,5,0,0,1,0,0,12,0,2,9,75.0
Kamran Khan,0,2,0,0,0,0,0,2,0,2,2,100.0
