,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Sandeep Sharma,3,0,3,0,1,0,0,7,1,1,10,142.86
MM Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Rashid Khan,2,3,2,0,2,0,0,9,1,1,15,166.67
DJ Hooda,1,1,0,0,0,0,0,2,0,1,1,50.0
BCJ Cutting,0,2,0,0,0,0,0,2,0,1,2,100.0
MC Henriques,1,4,1,0,1,0,0,7,0,1,10,142.86
A Nehra,0,2,0,0,0,0,0,2,0,1,2,100.0
SP Narine,2,5,1,0,0,0,1,9,0,1,13,144.44
UT Yadav,2,1,0,0,2,0,2,7,0,1,21,300.0
AS Rajpoot,5,6,0,0,1,0,1,13,0,1,16,123.08
PP Chawla,1,4,2,0,0,0,0,7,0,1,8,114.29
C de Grandhomme,0,3,1,0,0,0,0,4,0,1,5,125.0
CR Woakes,2,4,1,0,0,0,1,8,0,1,12,150.0
DL Chahar,2,2,0,0,0,0,0,4,0,1,2,50.0
JD Unadkat,1,0,0,0,0,0,0,1,1,1,0,0.0
AJ Tye,1,1,0,0,0,0,0,2,1,2,1,50.0
Basil Thampi,2,1,3,0,2,0,0,8,0,1,15,187.5
RA Jadeja,0,2,2,0,0,0,0,4,0,1,6,150.0
S Kaushik,0,1,0,0,0,0,1,2,0,1,7,350.0
DS Kulkarni,0,1,0,0,0,0,0,1,0,1,1,100.0
RP Singh,2,3,0,0,0,0,0,5,0,1,3,60.0
R Ashwin,1,1,0,0,0,0,0,2,0,1,1,50.0
A Zampa,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Dinda,0,1,0,0,0,0,0,1,0,1,1,100.0
TG Southee,3,0,0,0,0,0,0,3,0,1,0,0.0
KH Pandya,4,6,0,0,1,0,0,11,1,2,10,90.91
JJ Bumrah,2,3,2,0,1,0,0,8,0,2,11,137.5
HH Pandya,2,2,0,0,0,0,1,5,0,1,8,160.0
MJ McClenaghan,1,1,3,0,1,0,1,7,0,1,17,242.86
KV Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
SL Malinga,1,1,0,0,0,0,0,2,0,1,1,50.0
S Nadeem,0,2,0,0,0,0,0,2,0,1,2,100.0
