,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
PP Chawla,3,0,0,0,1,0,0,4,0,1,4,100.0
RJ Harris,1,0,1,0,1,0,0,3,0,1,6,200.0
P Kumar,3,0,0,0,0,0,1,4,1,1,6,150.0
Iqbal Abdulla,2,2,2,0,0,0,0,6,0,1,6,100.0
YK Pathan,3,2,0,0,0,0,0,5,1,1,2,40.0
DT Christian,6,2,0,0,0,0,0,8,1,1,2,25.0
A Mishra,0,0,1,0,0,0,0,1,0,1,2,200.0
RA Jadeja,0,2,1,0,0,0,0,3,0,1,4,133.33
S Sreesanth,1,2,0,0,1,0,0,4,0,1,6,150.0
P Parameswaran,1,1,0,0,2,0,0,4,0,1,9,225.0
R Vinay Kumar,3,2,1,0,4,0,1,11,1,2,26,236.36
B Akhil,1,1,0,0,0,0,0,2,0,1,1,50.0
RR Powar,3,1,0,0,0,0,0,4,1,1,1,25.0
