,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JH Kallis,4,2,1,0,3,0,0,10,0,1,16,160.0
L Balaji,2,4,1,0,0,0,0,7,0,1,6,85.71
SP Narine,6,4,0,0,0,0,0,10,0,1,4,40.0
B Lee,6,2,1,0,0,0,0,9,2,2,4,44.44
R Bhatia,1,1,1,0,1,0,0,4,0,1,7,175.0
DJ Muthuswami,2,0,1,0,0,0,0,3,0,1,2,66.67
A Mishra,2,4,0,0,2,0,0,8,1,2,12,150.0
S Nadeem,3,2,0,0,0,0,0,5,0,1,2,40.0
SL Malinga,2,0,0,0,0,0,0,2,1,1,0,0.0
JJ Bumrah,3,1,0,0,0,0,0,4,0,1,1,25.0
K Santokie,2,1,0,0,0,0,0,3,0,1,1,33.33
PP Ojha,3,0,0,0,0,0,0,3,1,1,0,0.0
DS Kulkarni,3,1,0,0,0,0,0,4,0,2,1,25.0
TG Southee,7,0,0,0,1,0,0,8,1,2,4,50.0
DJ Hooda,1,2,0,0,0,0,0,3,0,1,2,66.67
JP Faulkner,1,0,0,0,0,0,0,1,0,1,0,0.0
PV Tambe,1,1,2,0,0,0,0,4,1,1,5,125.0
S Badree,4,4,2,0,0,0,1,11,0,1,14,127.27
S Sreesanth,6,1,0,0,2,0,0,9,1,1,9,100.0
Azhar Mahmood,7,1,1,0,0,0,0,9,1,2,3,33.33
P Kumar,11,3,0,0,0,0,2,16,2,3,15,93.75
Harbhajan Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
AB Dinda,5,1,0,0,1,0,0,7,0,1,5,71.43
B Kumar,2,0,0,0,0,0,0,2,0,1,0,0.0
R Sharma,2,1,1,0,1,0,0,5,1,1,7,140.0
LJ Wright,1,2,0,0,0,0,0,3,0,1,2,66.67
Yuvraj Singh,0,3,0,0,0,0,0,3,0,1,3,100.0
TM Dilshan,1,1,0,0,0,0,0,2,0,1,1,50.0
Z Khan,1,2,0,0,2,0,0,5,0,1,10,200.0
R Vinay Kumar,6,5,0,0,1,0,1,13,1,2,15,115.38
RJ Harris,1,1,0,0,0,0,0,2,0,1,1,50.0
P Awana,5,0,0,0,0,0,1,6,0,1,6,100.0
PP Chawla,0,1,0,0,0,0,0,1,0,1,1,100.0
SW Tait,1,0,0,0,0,0,0,1,0,1,0,0.0
A Singh,6,0,0,0,0,0,0,6,0,1,0,0.0
SK Trivedi,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Warne,1,0,0,0,0,0,0,1,1,1,0,0.0
Sandeep Sharma,1,0,0,0,0,0,0,1,0,1,0,0.0
MM Sharma,11,1,0,0,2,0,1,15,2,2,15,100.0
SR Watson,2,2,1,0,0,0,0,5,0,1,4,80.0
STR Binny,0,3,0,0,0,0,0,3,0,1,3,100.0
Ankit Sharma,0,2,0,0,1,0,0,3,0,1,6,200.0
JO Holder,1,1,0,0,0,0,0,2,0,1,1,50.0
I Sharma,5,1,0,0,1,0,0,7,0,1,5,71.43
NLTC Perera,8,0,0,0,1,0,0,9,0,1,4,44.44
DJG Sammy,0,1,0,0,0,0,0,1,0,1,1,100.0
KV Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
DW Steyn,3,0,0,0,2,0,0,5,1,2,8,160.0
D Wiese,2,4,0,0,4,0,0,10,0,1,20,200.0
Iqbal Abdulla,5,3,1,0,2,0,1,12,0,1,19,158.33
YS Chahal,9,4,0,0,2,0,1,16,1,1,18,112.5
VR Aaron,1,0,0,0,0,0,0,1,0,1,0,0.0
AN Ahmed,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,5,2,0,0,1,0,0,8,1,1,6,75.0
MC Henriques,1,1,0,0,0,0,1,3,0,1,7,233.33
M Kartik,4,6,1,0,1,0,0,12,0,1,12,100.0
J Syed Mohammad,0,0,1,0,1,0,0,2,0,1,6,300.0
CH Gayle,0,1,0,0,0,0,0,1,0,1,1,100.0
R Rampaul,0,1,0,0,0,0,0,1,0,1,1,100.0
