,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Sandeep Sharma,2,4,0,0,0,0,0,6,0,1,4,66.67
MM Sharma,3,2,1,0,0,0,1,7,0,1,10,142.86
KJ Abbott,2,2,0,0,0,0,0,4,0,1,2,50.0
AR Patel,0,2,0,0,0,0,0,2,0,1,2,100.0
Gurkeerat Singh,1,3,1,0,0,0,0,5,1,1,5,100.0
R Dhawan,3,3,0,0,1,0,0,7,0,1,7,100.0
J Yadav,2,7,1,0,0,0,1,11,0,1,15,136.36
CR Brathwaite,2,2,0,0,1,0,0,5,0,1,6,120.0
Mohammed Shami,1,2,1,0,1,0,0,5,0,1,8,160.0
A Mishra,5,1,0,0,0,0,0,6,1,1,1,16.67
B Kumar,1,2,0,0,0,0,0,3,0,1,2,66.67
A Nehra,2,1,0,0,2,0,0,5,0,1,9,180.0
AD Russell,1,1,1,1,1,0,0,5,0,1,10,200.0
M Morkel,6,2,0,0,2,0,0,10,0,1,10,100.0
Shakib Al Hasan,1,1,0,0,0,0,0,2,1,1,1,50.0
Z Khan,5,2,0,0,3,0,0,10,0,1,14,140.0
NM Coulter-Nile,1,1,0,0,1,0,0,3,0,1,5,166.67
CH Morris,3,0,0,0,0,0,0,3,1,1,0,0.0
STR Binny,0,0,0,0,1,0,0,1,0,1,4,400.0
Parvez Rasool,2,0,1,0,1,0,1,5,0,1,12,240.0
