,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Symonds,1,1,0,0,0,0,0,2,0,1,1,50.0
WPUJC Vaas,0,2,0,0,0,0,0,2,0,1,2,100.0
SL Malinga,3,1,0,0,0,0,0,4,0,2,1,25.0
Harbhajan Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
BA Stokes,0,2,0,0,0,0,0,2,0,1,2,100.0
SR Watson,4,0,0,0,1,0,0,5,0,1,4,80.0
JP Faulkner,2,0,0,0,3,0,1,6,0,1,18,300.0
CH Morris,0,3,0,0,0,0,0,3,0,2,3,100.0
JA Morkel,3,3,0,0,0,0,1,7,0,3,9,128.57
NLTC Perera,0,1,0,0,1,0,1,3,0,2,11,366.67
A Nehra,1,0,0,0,0,0,0,1,1,1,0,0.0
L Balaji,1,2,0,0,0,0,0,3,0,2,2,66.67
DJ Bravo,4,3,0,0,0,0,0,7,1,2,3,42.86
KA Pollard,2,2,0,0,2,0,0,6,0,2,10,166.67
B Kumar,1,2,0,0,0,0,0,3,0,1,2,66.67
AD Mathews,0,2,1,0,0,0,0,3,0,1,4,133.33
AB Dinda,1,2,0,0,0,0,0,3,0,1,2,66.67
P Parameswaran,2,0,0,0,0,0,0,2,1,1,0,0.0
TS Mills,3,0,1,0,0,0,0,4,0,1,2,50.0
SB Jakati,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,3,0,0,0,0,0,0,3,1,1,0,0.0
HH Pandya,0,3,0,0,0,0,0,3,0,1,3,100.0
TG Southee,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,1,1,0,0,0,0,0,2,1,1,1,50.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,7,1,1,0,0,0,0,9,0,2,3,33.33
MM Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
Sandeep Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
MG Johnson,1,0,0,0,0,0,0,1,1,1,0,0.0
JJ Bumrah,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,0,0,0,0,1,0,0,1,0,1,4,400.0
