,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KA Pollard,12,10,1,0,3,0,2,28,3,6,36,128.57
Harbhajan Singh,14,36,2,0,2,0,5,59,0,11,78,132.2
MM Patel,12,11,0,1,0,0,1,25,1,6,20,80.0
AN Ahmed,1,0,0,0,0,0,0,1,1,1,0,0.0
SB Jakati,15,30,4,0,6,0,2,57,2,8,74,129.82
M Muralitharan,20,10,1,0,5,0,3,39,2,6,50,128.21
C Ganapathy,0,1,0,0,0,0,1,2,0,1,7,350.0
JA Morkel,17,22,6,1,3,0,4,53,2,9,73,137.74
MS Gony,22,22,4,0,6,0,1,55,1,7,60,109.09
A Singh,2,0,2,0,2,0,0,6,0,1,12,200.0
Pankaj Singh,9,3,1,0,3,0,1,17,1,3,23,135.29
GB Hogg,0,7,0,0,0,0,0,7,0,2,7,100.0
SK Trivedi,13,11,4,0,2,0,1,31,2,5,33,106.45
NM Coulter-Nile,3,2,0,0,2,0,0,7,1,2,10,142.86
SK Raina,15,21,3,1,3,0,2,45,1,7,54,120.0
L Balaji,13,9,0,0,2,0,1,25,3,6,23,92.0
JDP Oram,1,1,0,0,1,0,0,3,0,1,5,166.67
TA Boult,13,1,0,0,1,0,1,16,0,1,11,68.75
B Kumar,21,15,2,0,7,0,1,46,2,8,53,115.22
RS Bopara,5,6,0,0,0,0,1,12,1,2,12,100.0
P Kumar,30,17,4,0,5,0,4,60,1,9,69,115.0
KV Sharma,6,13,8,0,5,0,5,37,0,5,79,213.51
BE Hendricks,2,1,1,0,0,0,0,4,0,1,3,75.0
Anureet Singh,5,6,1,0,3,0,1,16,1,3,26,162.5
A Nehra,30,16,2,0,7,0,2,57,6,10,60,105.26
Mustafizur Rahman,10,4,2,0,2,0,1,19,1,3,22,115.79
MC Henriques,7,10,2,1,2,0,2,24,0,3,37,154.17
A Ashish Reddy,9,9,0,0,3,0,1,22,1,4,27,122.73
PP Chawla,25,29,7,0,7,0,4,72,3,11,95,131.94
Bipul Sharma,3,9,1,0,1,0,1,15,1,3,21,140.0
Yuvraj Singh,3,12,1,0,4,0,0,20,0,4,30,150.0
IK Pathan,30,22,2,0,15,0,1,70,3,9,92,131.43
SJ Srivastava,0,2,0,0,1,0,0,3,0,1,6,200.0
DW Steyn,6,9,3,0,2,0,0,20,0,5,23,115.0
V Pratap Singh,3,4,0,0,0,0,0,7,0,1,4,57.14
A Mishra,24,38,6,0,12,0,8,88,1,10,146,165.91
J Yadav,3,2,1,0,1,0,0,7,0,2,8,114.29
YA Abdulla,2,3,0,0,2,0,0,7,0,3,11,157.14
T Henderson,1,1,0,0,0,0,0,2,0,1,1,50.0
Kamran Khan,2,6,0,0,2,0,1,11,0,3,20,181.82
SK Warne,15,12,0,0,1,0,0,28,1,4,16,57.14
M Ntini,3,1,0,0,1,0,0,5,0,1,5,100.0
R Ashwin,37,45,3,0,10,0,6,101,0,14,127,125.74
AB Dinda,16,6,3,0,3,0,2,30,2,5,36,120.0
M Morkel,28,19,7,3,3,0,2,62,3,10,66,106.45
UT Yadav,24,33,5,0,14,0,7,83,2,11,141,169.88
JR Hopes,2,3,0,0,2,0,0,7,0,2,11,157.14
S Sreesanth,17,8,2,0,3,0,0,30,0,4,24,80.0
Gagandeep Singh,1,3,0,0,1,0,0,5,0,1,7,140.0
VRV Singh,4,3,0,0,0,0,0,7,1,2,3,42.86
RJ Harris,11,5,2,0,3,0,0,21,2,4,21,100.0
P Awana,10,10,1,0,5,0,1,27,2,4,38,140.74
Azhar Mahmood,6,4,1,0,0,0,0,11,1,2,6,54.55
AM Nayar,2,4,0,0,2,0,1,9,0,3,18,200.0
DJ Hussey,0,2,0,0,0,0,0,2,0,1,2,100.0
R Bhatia,4,16,1,0,4,0,1,26,0,4,40,153.85
PJ Sangwan,3,13,0,0,2,0,2,20,0,4,33,165.0
DL Vettori,1,7,1,0,0,0,0,9,0,2,9,100.0
MF Maharoof,1,1,0,0,0,0,0,2,1,1,1,50.0
I Sharma,17,9,1,0,7,0,1,35,0,5,45,128.57
DT Christian,12,6,6,0,1,0,0,25,1,3,22,88.0
Z Khan,13,18,3,0,7,0,2,43,2,6,64,148.84
CH Morris,14,15,4,1,3,0,2,39,1,6,50,128.21
P Negi,7,19,5,0,1,0,2,34,0,4,45,132.35
CR Brathwaite,1,8,0,0,1,0,0,10,0,2,12,120.0
DS Kulkarni,23,25,7,0,8,0,1,64,4,8,77,120.31
PV Tambe,9,17,2,0,4,0,2,34,1,4,49,144.12
RA Jadeja,31,48,12,0,5,0,2,98,2,12,104,106.12
DJ Bravo,34,29,9,1,14,0,4,91,0,10,130,142.86
Sandeep Sharma,12,6,3,0,9,0,1,31,5,7,54,174.19
S Badree,4,4,2,0,0,0,1,11,0,2,14,127.27
MM Sharma,15,19,3,1,5,0,1,44,0,8,54,122.73
MP Stoinis,2,2,1,0,0,0,0,5,0,1,4,80.0
AR Patel,8,6,1,0,2,0,1,18,0,3,22,122.22
KC Cariappa,6,3,0,0,1,0,6,16,1,2,43,268.75
JP Faulkner,6,6,2,0,0,0,0,14,1,4,10,71.43
SR Watson,14,9,2,0,0,0,1,26,1,7,19,73.08
A Chandila,4,9,1,0,1,0,0,15,0,2,15,100.0
STR Binny,2,1,1,0,0,0,0,4,0,2,3,75.0
Harmeet Singh,7,4,3,0,2,0,0,16,0,2,18,112.5
PP Ojha,10,15,5,0,0,0,1,31,1,6,31,100.0
A Symonds,4,2,1,0,2,0,2,11,1,3,24,218.18
Imran Tahir,4,10,0,0,1,0,1,16,0,3,20,125.0
JP Duminy,4,6,1,0,0,0,0,11,0,3,8,72.73
AD Mathews,4,9,0,0,0,0,0,13,1,5,9,69.23
RP Singh,13,16,3,0,1,0,6,39,2,9,62,158.97
B Lee,8,5,0,0,3,0,0,16,0,3,17,106.25
YK Pathan,1,1,0,0,1,0,0,3,0,1,5,166.67
SP Narine,26,21,4,0,6,0,0,57,2,8,53,92.98
JH Kallis,18,11,3,0,3,0,0,35,3,6,29,82.86
LJ Wright,2,4,0,0,0,0,0,6,0,1,4,66.67
AG Murtaza,0,1,0,0,0,0,0,1,0,1,1,100.0
FH Edwards,4,1,1,0,4,0,0,10,0,1,19,190.0
SB Styris,1,6,1,0,2,0,0,10,0,2,16,160.0
A Flintoff,3,1,0,0,0,0,0,4,0,1,1,25.0
Joginder Sharma,2,1,0,0,0,0,1,4,1,1,7,175.0
ST Jayasuriya,0,2,0,0,1,0,1,4,0,1,12,300.0
Iqbal Abdulla,8,3,0,0,2,0,0,13,0,2,11,84.62
R Sharma,7,22,1,0,1,0,3,34,1,5,46,135.29
M Manhas,1,2,0,0,1,0,0,4,0,1,6,150.0
JD Ryder,3,3,0,0,2,0,0,8,0,1,11,137.5
AC Thomas,1,2,2,0,0,0,0,5,1,1,6,120.0
JE Taylor,1,1,0,0,0,0,2,4,0,1,13,325.0
CR Woakes,0,1,0,0,0,0,0,1,0,1,1,100.0
