,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,13,4,2,0,1,0,1,21,1,4,18,85.71
VRV Singh,3,4,0,0,1,0,2,10,0,2,20,200.0
RR Powar,4,2,0,0,1,0,2,9,0,2,18,200.0
PP Chawla,8,15,2,0,7,0,2,34,2,6,59,173.53
JR Hopes,1,1,0,0,0,0,0,2,0,1,1,50.0
YK Pathan,2,0,0,0,1,0,1,4,0,1,10,250.0
S Narwal,1,1,0,0,0,0,0,2,1,1,1,50.0
AC Voges,5,0,0,0,2,0,0,7,0,1,8,114.29
B Lee,13,10,0,0,5,0,0,28,1,6,30,107.14
L Balaji,9,11,0,0,4,0,2,26,1,5,39,150.0
JH Kallis,11,12,1,0,10,0,1,35,2,7,60,171.43
WPUJC Vaas,10,6,1,0,5,0,0,22,2,4,28,127.27
PP Ojha,12,10,2,0,1,0,0,25,2,5,18,72.0
SW Tait,6,3,1,0,3,0,0,13,1,3,17,130.77
JP Faulkner,3,0,0,0,3,0,0,6,2,2,12,200.0
Z Khan,11,10,2,0,9,0,1,33,2,8,56,169.7
SL Malinga,19,13,0,0,7,0,0,39,1,7,41,105.13
DJ Bravo,2,5,0,0,1,0,0,8,1,3,9,112.5
KA Pollard,3,5,0,0,5,0,2,15,0,3,37,246.67
MJ McClenaghan,2,2,0,0,0,0,0,4,0,1,2,50.0
DT Christian,3,7,1,0,5,0,0,16,0,2,29,181.25
Harmeet Singh,12,3,0,0,1,0,1,17,2,3,13,76.47
Harbhajan Singh,9,21,4,0,5,0,1,40,2,7,55,137.5
AG Murtaza,6,2,0,0,1,0,0,9,1,3,6,66.67
SR Watson,10,8,0,0,6,0,0,24,3,4,32,133.33
AD Mascarenhas,11,7,2,0,6,0,2,28,1,3,47,167.86
MM Patel,19,12,1,0,5,0,3,40,3,6,52,130.0
A Uniyal,1,1,0,0,1,0,2,5,0,1,17,340.0
SK Warne,1,2,0,0,1,0,0,4,0,1,6,150.0
NM Coulter-Nile,10,1,0,0,1,0,0,12,0,1,5,41.67
DJ Muthuswami,0,3,0,0,0,0,0,3,0,1,3,100.0
AD Mathews,5,9,2,0,5,0,1,22,0,3,39,177.27
A Mishra,5,12,2,0,4,0,3,26,1,3,50,192.31
Imran Tahir,0,2,0,0,2,0,1,5,0,2,16,320.0
Yuvraj Singh,1,6,0,0,1,0,0,8,0,3,10,125.0
JP Duminy,4,2,0,0,0,0,2,8,2,2,14,175.0
P Kumar,22,7,3,0,12,0,3,47,2,8,79,168.09
WD Parnell,3,3,1,0,0,0,0,7,0,2,5,71.43
Mohammed Shami,13,2,0,0,4,0,0,19,1,2,18,94.74
JD Unadkat,6,3,1,0,1,0,0,11,2,3,9,81.82
Shoaib Akhtar,2,0,0,0,0,0,0,2,1,1,0,0.0
STR Binny,3,1,0,0,0,0,0,4,0,1,1,25.0
DR Smith,3,7,0,0,1,0,1,12,0,2,17,141.67
M Ntini,6,2,0,0,1,0,1,10,0,1,12,120.0
MS Gony,7,7,2,1,4,0,2,23,2,3,42,182.61
Joginder Sharma,4,2,2,0,6,0,1,15,1,2,36,240.0
M Muralitharan,8,7,0,0,3,0,0,18,1,2,19,105.56
JA Morkel,21,13,1,0,8,0,2,45,1,8,59,131.11
S Aravind,2,2,4,0,1,0,0,9,0,1,14,155.56
DL Vettori,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,17,6,1,0,4,0,0,28,0,5,24,85.71
UT Yadav,13,6,2,0,4,0,0,25,2,4,26,104.0
IK Pathan,10,2,0,0,4,0,1,17,2,5,24,141.18
