,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
PJ Sangwan,5,2,2,0,4,0,0,13,0,1,22,169.23
P Kumar,4,2,0,0,0,0,0,6,0,1,2,33.33
JP Faulkner,0,3,0,0,1,0,0,4,0,1,7,175.0
MM Patel,0,6,1,0,1,0,0,8,0,1,12,150.0
RA Jadeja,2,6,0,0,0,0,0,8,0,1,6,75.0
Ankit Soni,0,2,0,0,3,0,0,5,0,1,14,280.0
JJ Bumrah,1,3,1,0,1,0,0,6,0,2,9,150.0
SL Malinga,3,2,1,0,0,0,0,6,1,2,4,66.67
MJ McClenaghan,0,3,0,0,0,0,0,3,0,1,3,100.0
PP Chawla,1,3,0,0,0,0,1,5,0,1,9,180.0
SP Narine,2,2,0,0,1,0,0,5,0,1,6,120.0
UT Yadav,3,1,0,0,0,0,0,4,0,1,1,25.0
TA Boult,0,2,0,0,1,0,0,3,0,1,6,200.0
NM Coulter-Nile,1,0,0,0,0,0,0,1,1,1,0,0.0
