,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
B Kumar,2,0,0,0,0,0,1,3,1,1,6,200.0
RJ Harris,3,0,0,0,0,0,0,3,0,1,0,0.0
SJ Srivastava,2,0,0,0,0,0,0,2,0,1,0,0.0
R Ashwin,2,0,0,0,0,0,0,2,0,1,0,0.0
MG Johnson,1,2,0,0,0,0,0,3,0,2,2,66.67
Sandeep Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
AR Patel,2,3,1,0,0,0,0,6,0,2,5,83.33
L Balaji,4,5,0,0,1,0,1,11,0,2,15,136.36
TA Boult,0,1,0,0,0,0,0,1,0,1,1,100.0
CR Woakes,3,1,1,0,0,0,0,5,1,1,3,60.0
JJ Bumrah,1,1,0,0,0,0,0,2,0,1,1,50.0
SL Malinga,0,1,0,0,0,0,0,1,0,1,1,100.0
KA Pollard,3,1,0,0,1,0,0,5,0,1,5,100.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
R Dhawan,1,1,2,0,0,0,0,4,0,1,5,125.0
A Choudhary,5,0,0,0,0,0,0,5,0,1,0,0.0
