,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,11,5,2,0,1,0,0,19,0,3,13,68.42
DJ Bravo,6,4,2,0,1,0,1,14,1,3,18,128.57
A Nehra,2,1,0,0,1,0,0,4,0,1,5,125.0
SM Pollock,1,2,0,0,1,0,0,4,0,1,6,150.0
ST Jayasuriya,1,3,0,0,0,0,0,4,0,1,3,75.0
SD Chitnis,1,2,0,0,1,0,0,4,0,1,6,150.0
AM Nayar,0,2,0,0,0,0,0,2,0,1,2,100.0
A Singh,4,2,1,0,1,0,0,8,0,1,8,100.0
SR Watson,11,2,0,0,2,0,0,15,0,3,10,66.67
YK Pathan,4,1,0,0,0,0,0,5,0,1,1,20.0
AP Dole,2,0,0,0,1,0,0,3,1,1,4,133.33
P Kumar,2,5,0,0,0,0,0,7,1,2,5,71.43
DW Steyn,6,4,0,0,1,0,0,11,0,2,8,72.73
JH Kallis,2,7,0,0,2,0,0,11,0,2,15,136.36
A Kumble,2,8,0,0,3,0,0,13,0,2,20,153.85
JD Ryder,1,0,0,0,0,0,0,1,1,1,0,0.0
S Sreesanth,6,7,0,0,3,0,0,16,1,2,19,118.75
IK Pathan,3,4,0,0,2,0,0,9,0,2,12,133.33
VRV Singh,3,3,1,0,2,0,0,9,0,1,13,144.44
PP Chawla,1,3,0,0,1,0,0,5,1,1,7,140.0
SK Raina,1,2,0,0,0,0,0,3,1,1,2,66.67
M Muralitharan,3,3,0,0,1,0,0,7,0,2,7,100.0
DP Nannes,1,1,0,0,0,0,0,2,0,1,1,50.0
DL Vettori,1,3,1,0,1,0,0,6,0,1,9,150.0
TM Dilshan,5,4,1,0,1,0,1,12,1,1,16,133.33
A Mithun,2,1,0,0,0,0,1,4,0,1,7,175.0
I Sharma,10,3,1,0,1,0,1,16,0,3,15,93.75
AB Dinda,5,0,0,0,1,0,0,6,1,2,4,66.67
SJ Srivastava,0,1,1,0,1,0,0,3,0,1,7,233.33
CK Langeveldt,2,2,0,0,1,0,0,5,0,1,6,120.0
LR Shukla,0,1,0,0,0,0,1,2,0,1,7,350.0
M Kartik,1,0,0,0,0,0,0,1,1,1,0,0.0
Mohammad Asif,4,1,0,0,0,0,0,5,1,1,1,20.0
GD McGrath,0,1,0,0,0,0,0,1,0,1,1,100.0
SB Wagh,2,0,0,0,0,0,0,2,0,1,0,0.0
WD Parnell,1,0,0,0,0,0,0,1,1,1,0,0.0
S Narwal,3,2,0,0,0,0,0,5,0,1,2,40.0
AA Jhunjhunwala,0,1,0,0,0,0,0,1,0,1,1,100.0
SK Trivedi,1,4,0,0,1,0,0,6,0,2,8,133.33
SW Tait,1,1,0,0,0,0,0,2,1,1,1,50.0
JA Morkel,9,1,0,0,1,0,0,11,1,2,5,45.45
MM Patel,0,0,0,0,1,0,0,1,0,1,4,400.0
Pankaj Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Warne,1,0,0,0,0,0,0,1,1,1,0,0.0
S Tyagi,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
