,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,5,0,0,0,0,0,0,5,1,1,0,0.0
DP Vijaykumar,5,2,0,0,2,0,0,9,0,1,10,111.11
RP Singh,4,4,0,0,2,0,0,10,0,2,12,120.0
SB Styris,3,3,2,0,0,0,0,8,0,1,7,87.5
Shahid Afridi,3,2,0,0,2,0,0,7,0,1,10,142.86
PP Ojha,1,4,0,0,0,0,0,5,1,1,4,80.0
SB Bangar,0,2,0,0,1,0,0,3,0,1,6,200.0
JDP Oram,6,3,0,0,0,0,0,9,0,1,3,33.33
MS Gony,3,2,1,0,2,0,0,8,0,1,12,150.0
JA Morkel,4,4,0,0,0,0,1,9,0,1,10,111.11
P Amarnath,1,2,0,1,3,0,0,7,1,1,17,242.86
Joginder Sharma,0,2,0,0,0,0,1,3,0,1,8,266.67
AB Dinda,9,2,0,0,0,0,0,11,1,1,2,18.18
I Sharma,4,1,1,0,0,0,0,6,0,1,3,50.0
AB Agarkar,0,1,0,0,0,0,0,1,0,1,1,100.0
A Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
M Morkel,3,1,1,0,1,0,0,6,0,1,7,116.67
DJ Bravo,1,1,0,0,1,0,0,3,0,1,5,166.67
Z Khan,6,0,1,0,0,0,0,7,1,1,2,28.57
Mohammad Asif,1,1,0,0,0,0,1,3,0,1,7,233.33
GD McGrath,3,3,0,0,0,0,0,6,1,1,3,50.0
