,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
TL Suman,2,4,0,0,0,0,0,6,1,2,4,66.67
PP Ojha,3,6,0,0,0,0,0,9,0,2,6,66.67
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,0,2,1,0,0,0,0,3,0,1,4,133.33
SL Malinga,2,0,0,0,0,0,0,2,1,1,0,0.0
Y Venugopal Rao,2,2,0,0,0,0,0,4,0,1,2,50.0
RG Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
RJ Harris,1,2,0,0,0,0,0,3,0,1,2,66.67
SR Watson,0,1,0,0,0,0,0,1,0,1,1,100.0
JA Morkel,3,4,1,0,1,0,0,9,1,1,10,111.11
M Muralitharan,3,4,0,0,0,0,0,7,0,1,4,57.14
L Balaji,4,5,1,0,1,0,0,11,0,1,11,100.0
SK Raina,4,1,1,0,0,0,0,6,0,1,3,50.0
R Ashwin,2,2,0,0,0,0,0,4,1,1,2,50.0
MM Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
DS Kulkarni,2,2,0,0,0,0,0,4,0,1,2,50.0
JP Duminy,1,0,0,0,0,0,0,1,1,1,0,0.0
