,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BE Hendricks,1,0,1,0,0,0,0,2,1,1,2,100.0
DT Christian,1,0,0,0,0,0,0,1,0,1,0,0.0
A Mishra,3,4,1,0,0,0,0,8,0,1,6,75.0
PP Ojha,4,3,1,0,0,0,1,9,0,2,11,122.22
DW Steyn,1,1,0,0,0,0,0,2,0,1,1,50.0
SP Narine,4,5,0,0,0,0,0,9,1,3,5,55.56
SL Malinga,8,1,0,0,0,0,0,9,1,2,1,11.11
SW Tait,0,2,0,0,0,0,0,2,0,1,2,100.0
L Balaji,1,2,0,0,0,0,0,3,1,2,2,66.67
M Muralitharan,2,0,0,0,0,0,0,2,0,1,0,0.0
RA Jadeja,3,1,0,0,0,0,0,4,0,1,1,25.0
JH Kallis,0,3,0,0,0,0,0,3,0,1,3,100.0
Harbhajan Singh,3,1,0,0,2,0,0,6,0,1,9,150.0
MM Patel,1,1,0,0,0,0,0,2,1,1,1,50.0
AB Dinda,2,2,0,0,0,0,0,4,0,1,2,50.0
JR Hopes,2,2,1,0,1,0,0,6,0,1,8,133.33
JEC Franklin,2,1,1,0,1,0,0,5,1,1,7,140.0
AG Murtaza,1,2,0,0,0,0,0,3,0,1,2,66.67
