,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Rashid Khan,3,1,0,0,0,0,0,4,1,2,1,25.0
SP Narine,20,17,2,0,5,0,4,48,2,7,65,135.42
GB Hogg,3,2,0,0,0,0,1,6,0,1,8,133.33
PP Chawla,20,18,8,1,5,0,7,59,2,9,99,167.8
AD Russell,1,2,0,0,0,0,0,3,0,1,2,66.67
UT Yadav,20,15,6,0,12,0,2,55,1,9,87,158.18
MJ McClenaghan,8,8,1,0,7,0,0,24,1,4,38,158.33
TG Southee,3,2,0,1,3,0,0,9,0,2,17,188.89
KH Pandya,8,11,2,0,1,0,0,22,1,2,19,86.36
JJ Bumrah,16,12,2,0,2,0,0,32,0,5,24,75.0
Harbhajan Singh,7,19,3,0,2,0,3,34,0,4,51,150.0
DP Nannes,1,1,1,0,0,0,0,3,0,1,3,100.0
R Bhatia,2,6,0,0,0,0,0,8,1,2,6,75.0
AB McDonald,1,5,0,0,1,0,0,7,0,1,9,128.57
PD Collingwood,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,12,12,3,0,4,0,1,32,0,3,40,125.0
R Vinay Kumar,4,4,0,0,1,0,0,9,0,4,8,88.89
A Mishra,8,12,1,0,3,0,0,24,2,5,26,108.33
J Yadav,1,2,0,0,0,0,0,3,0,1,2,66.67
CR Brathwaite,1,5,0,0,0,0,0,6,0,2,5,83.33
M Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,4,8,0,0,0,0,0,12,0,3,8,66.67
NLTC Perera,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Muthuswami,3,1,0,0,0,0,1,5,0,1,7,140.0
AD Mathews,3,3,0,0,0,0,1,7,0,1,9,128.57
Imran Tahir,1,1,1,0,0,0,0,3,1,2,3,100.0
Yuvraj Singh,2,3,2,0,1,0,0,8,0,2,11,137.5
NM Coulter-Nile,3,1,0,0,0,0,1,5,1,2,7,140.0
JP Duminy,4,7,0,0,1,0,0,12,0,2,11,91.67
JD Unadkat,4,2,0,1,0,0,1,8,0,2,11,137.5
Mohammed Shami,7,1,0,0,3,0,1,12,2,3,19,158.33
R Sharma,2,1,0,0,0,0,0,3,1,1,1,33.33
B Kumar,12,3,3,0,4,0,1,23,0,3,31,134.78
KW Richardson,1,1,0,0,1,0,1,4,0,1,11,275.0
GD McGrath,1,2,0,0,0,0,0,3,0,1,2,66.67
MF Maharoof,1,1,1,0,0,0,0,3,0,1,3,100.0
PV Tambe,1,3,0,0,2,0,0,6,0,2,11,183.33
JP Faulkner,7,10,2,0,4,0,0,23,1,5,30,130.43
CH Morris,3,2,1,0,3,0,0,9,1,2,16,177.78
CR Woakes,5,3,1,0,0,0,0,9,0,1,5,55.56
C de Grandhomme,4,4,1,0,0,0,0,9,0,2,6,66.67
AS Rajpoot,0,1,0,0,1,0,0,2,0,1,5,250.0
Kuldeep Yadav,3,3,3,0,0,0,1,10,1,1,15,150.0
Shakib Al Hasan,7,7,2,0,0,0,1,17,0,3,17,100.0
M Morkel,19,5,4,0,2,0,3,33,3,6,39,118.18
DL Vettori,5,4,0,0,1,0,0,10,0,1,8,80.0
S Aravind,9,5,0,0,4,0,2,20,1,4,33,165.0
A Mithun,5,4,0,0,0,0,0,9,0,1,4,44.44
CH Gayle,3,2,0,0,0,0,1,6,0,1,8,133.33
V Kohli,2,0,0,0,0,0,0,2,1,1,0,0.0
DR Smith,0,1,0,0,0,0,0,1,0,1,1,100.0
Basil Thampi,1,1,1,0,0,0,1,4,0,1,9,225.0
S Kaushik,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,10,10,4,0,3,0,0,27,3,4,30,111.11
DS Kulkarni,1,1,3,0,0,0,0,5,0,2,7,140.0
JDP Oram,2,0,0,0,0,0,0,2,0,1,0,0.0
MS Gony,9,1,1,0,5,0,1,17,1,2,29,170.59
P Amarnath,3,0,0,0,3,0,0,6,0,1,12,200.0
WPUJC Vaas,6,2,0,0,0,0,0,8,1,1,2,25.0
RP Singh,6,8,3,0,1,0,1,19,0,3,24,126.32
Mustafizur Rahman,1,1,1,0,0,0,0,3,0,1,3,100.0
BCJ Cutting,1,1,0,0,1,0,0,3,0,1,5,166.67
KV Sharma,9,16,2,0,3,0,0,30,1,4,32,106.67
MC Henriques,7,10,3,0,1,0,2,23,2,4,32,139.13
RA Jadeja,6,13,1,0,0,0,1,21,0,3,21,100.0
MM Sharma,5,1,0,0,0,0,1,7,1,2,7,100.0
A Nehra,1,1,0,0,0,0,0,2,1,2,1,50.0
A Symonds,1,0,0,0,0,0,1,2,1,1,6,300.0
R Tewatia,2,4,0,0,0,0,0,6,1,1,4,66.67
KK Cooper,0,2,0,0,0,0,0,2,0,1,2,100.0
VS Malik,0,2,0,0,0,0,0,2,0,1,2,100.0
M Muralitharan,2,7,0,0,0,0,1,10,0,2,13,130.0
L Balaji,2,5,3,0,4,0,1,15,1,3,33,220.0
JA Morkel,6,4,2,0,1,0,0,13,0,4,12,92.31
SK Raina,0,2,1,0,0,0,0,3,0,1,4,133.33
SB Jakati,1,1,0,0,0,0,0,2,1,1,1,50.0
MA Starc,5,5,1,0,2,0,0,13,0,3,15,115.38
PP Ojha,3,0,1,0,0,0,0,4,0,1,2,50.0
S Gopal,2,1,0,0,0,0,0,3,0,1,1,33.33
Azhar Mahmood,1,0,0,0,0,0,0,1,0,1,0,0.0
P Awana,4,3,0,0,0,0,0,7,1,2,3,42.86
DJ Hussey,2,4,0,0,0,0,0,6,1,2,4,66.67
MM Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
P Kumar,10,9,3,0,2,0,2,26,0,4,35,134.62
TA Boult,5,2,0,0,2,0,0,9,1,3,10,111.11
P Negi,4,2,1,0,1,0,0,8,1,2,8,100.0
IC Pandey,2,2,0,0,0,0,1,5,0,1,8,160.0
Jaskaran Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
KAJ Roach,0,1,0,0,1,0,0,2,0,1,5,250.0
BJ Hodge,1,1,0,0,0,0,0,2,0,1,1,50.0
Sohail Tanvir,0,2,1,0,0,0,0,3,0,1,4,133.33
SR Watson,2,5,1,0,0,0,1,9,1,3,13,144.44
SK Trivedi,1,1,0,0,0,0,0,2,1,1,1,50.0
KP Appanna,0,4,1,0,0,0,1,6,0,1,12,200.0
KP Pietersen,1,2,1,0,0,0,0,4,0,1,4,100.0
A Kumble,5,5,3,0,0,0,0,13,1,3,11,84.62
DT Christian,3,1,0,0,1,0,0,5,1,2,5,100.0
BA Stokes,2,3,0,0,2,0,0,7,0,2,11,157.14
VRV Singh,4,5,2,0,2,0,0,13,0,2,17,130.77
Gagandeep Singh,1,3,0,0,0,0,1,5,0,1,9,180.0
JR Hopes,1,5,3,0,0,0,1,10,0,2,17,170.0
IK Pathan,4,2,1,0,1,0,0,8,0,2,8,100.0
Z Khan,3,9,2,0,5,0,1,20,0,5,39,195.0
KA Pollard,1,2,1,0,2,0,1,7,0,1,18,257.14
CJ Anderson,1,2,0,0,0,0,0,3,0,1,2,66.67
S Kaul,1,1,0,0,0,0,0,2,1,1,1,50.0
JH Kallis,2,4,0,0,2,0,2,10,1,3,24,240.0
A Zampa,2,2,0,0,0,0,0,4,1,2,2,50.0
HH Pandya,3,2,0,0,1,0,1,7,0,1,12,171.43
DW Steyn,5,3,2,0,1,0,1,12,1,3,17,141.67
YK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Dinda,1,1,0,0,0,0,0,2,0,1,1,50.0
VR Aaron,3,4,1,0,1,0,0,9,1,3,10,111.11
YS Chahal,8,9,1,0,3,0,0,21,1,4,23,109.52
HV Patel,1,0,1,0,0,0,1,3,1,1,8,266.67
SM Pollock,0,1,0,0,0,0,0,1,0,1,1,100.0
D Wiese,1,0,0,0,0,0,0,1,1,1,0,0.0
Iqbal Abdulla,1,3,1,0,0,0,0,5,0,1,5,100.0
AM Nayar,0,2,1,0,1,0,0,4,0,1,8,200.0
S Nadeem,1,3,2,0,1,0,0,7,1,2,11,157.14
Bipul Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
I Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
CJ Jordan,1,1,1,0,2,0,0,5,0,1,11,220.0
S Badree,2,4,0,0,0,0,0,6,0,1,4,66.67
A Choudhary,0,2,0,0,1,0,0,3,0,1,6,200.0
SN Thakur,4,3,0,0,0,0,0,7,0,1,3,42.86
