,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,0,2,0,0,0,0,0,2,0,1,2,100.0
YK Pathan,3,4,1,0,0,0,0,8,1,2,6,75.0
SK Trivedi,0,3,0,0,0,0,0,3,0,1,3,100.0
AS Raut,0,1,2,0,0,0,1,4,0,1,11,275.0
UT Yadav,4,2,1,0,0,0,0,7,0,2,4,57.14
R Bhatia,0,3,0,0,0,0,0,3,0,2,3,100.0
A Nehra,0,2,1,0,1,0,0,4,0,1,8,200.0
R Vinay Kumar,3,0,0,0,0,0,0,3,0,1,0,0.0
AB Agarkar,1,0,0,0,0,0,0,1,1,1,0,0.0
Yuvraj Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
SJ Srivastava,1,2,0,0,1,0,1,5,0,1,12,240.0
IK Pathan,2,1,1,0,0,0,0,4,1,1,3,75.0
CK Langeveldt,1,0,0,0,0,0,0,1,1,1,0,0.0
VY Mahesh,1,1,2,0,0,0,1,5,0,1,11,220.0
SC Ganguly,1,0,1,0,0,0,0,2,0,1,2,100.0
I Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Umar Gul,0,1,2,0,0,0,0,3,0,1,5,166.67
LR Shukla,1,1,0,0,0,0,0,2,1,1,1,50.0
PD Collingwood,1,2,0,0,0,0,0,3,1,1,2,66.67
AC Voges,1,3,0,0,0,0,0,4,0,1,3,75.0
SK Warne,2,2,0,0,0,0,0,4,0,1,2,50.0
SW Tait,2,1,0,0,0,0,0,3,0,1,1,33.33
